vi,ch
"Khách hành nhất dạ thu phong khởi,",客行一夜秋風起，
Khách mộng nam du độ Tương thuỷ.,客夢南遊渡湘水。
"Tương thuỷ linh linh triệt để thanh,",湘水泠泠徹底清，
Nhị phi oán xứ vô hạn tình.,二妃怨處無限情。
"Nga Hoàng bất ngữ khải kiều yểm,",娥皇不語啟嬌靨，
Nữ Anh mục thành chuyển tâm thiếp.,女英目成轉心愜。
"Trường mi nhập mấn hà liên quyên,",長眉入鬢何連娟，
Cơ phu bạch ngọc tú thả tiên.,肌膚白玉秀且鮮。
"Bồi hồi cộng vịnh đông phương nhật,",裴回共詠東方日，
Trầm ngâm tái lý Nam Phong huyền.,沉吟再理南風弦。
"Thanh đoạn tục, tứ miên miên,",聲斷續，思綿綿，
Trung hàm u ý lưỡng bất tuyên.,中含幽意兩不宣。
"Ân cần tiêm thủ kinh phá mộng,",殷勤纖手驚破夢，
Trung tiêu tịch mịch tâm thê nhiên.,中宵寂寞心淒然。
"Tâm thê nhiên, trường diệc tuyệt.",心淒然，腸亦絕。
"Mị bất mị hề ngọc chẩm hàn,",寐不寐兮玉枕寒，
Dạ thâm dạ hề sương tự tuyết.,夜深夜兮霜似雪。
"Kính trung bất kiến song thuý mi,",鏡中不見雙翠眉，
Đài tiền không quải tiêm tiêm nguyệt.,台前空掛纖纖月。
"Tiêm tiêm nguyệt, doanh phục khuyết,",纖纖月，盈復缺，
Quyên quyên tự mi ý nan quyết.,娟娟似眉意難訣。
"Nguyện thử mi hề như thử nguyệt,",願此眉兮如此月，
Thiên lý vạn lý quang bất diệt.,千里萬里光不滅。
