vi,ch
"Chinh trang trịnh trọng tiền lâm biệt,",征裝鄭重前臨別，
Tích ngọc liên hương khuê tứ thiết.,惜玉憐香睽思切。
"Trường đình dạ dạ mộng bình vi,",長亭夜夜夢屏幃，
Y cựu hàn huyên đăng hạ thuyết.,依舊寒暄燈下說。
"Cự ý phân huề tuần nhật gian,",詎意分攜旬日間，
Khiển quyển ly tôn thành vĩnh quyết.,繾綣離樽成永訣。
"Hung tấn dao bằng bưu dịch lai,",凶訊遙憑郵驛來，
Phi hàm nhất lãm trường ô yết.,披函一覽長嗚咽。
"Tòng lang khứ hậu đới tiều dung,",從郎去後帶憔容，
Thang thiện hy sơ quang thái yết.,湯膳希疏光彩歇。
"Chi chẩm hi hư tài kiến nhi,",支枕欷歔纔見兒，
Yêm nhiên quy hoá trần căn tuyệt.,奄然歸化塵根絕。
"Gia nhân kinh thống tương tụ hào,",家人驚痛相聚號，
Huynh trưởng lâm tang vị bài thiết.,兄長臨喪為排設。
"Phiên cung hậu tống cẩm dữ tiền,",藩宮厚送錦與錢，
Quyền thấn nghi văn tuần lễ tiết.,權殯儀文循禮節。
"Ta tai kết phát trấp bát niên,",嗟哉結髮廿八年，
"Trường khế khoát,",長契闊，
Tương Tần Việt.,相秦越。
"Du du bắc vọng lệ triêm y,",悠悠北望淚沾衣，
Lữ quán đề quyên thôi dạ nguyệt.,旅館啼鵑催夜月。
"Ki tình bôn phó vị tri kỳ,",羈情奔訃未知期，
Thiên lý quan phu trường uất kết.,千里鰥夫腸鬱結。
