vi,ch
"Ngũ Nhạc tế dật giai tam công,",五嶽祭秩皆三公，
Tứ phương hoàn trấn Tung đương trung.,四方環鎮嵩當中。
"Hoả Duy địa hoang túc yêu quái,",火維地荒足妖怪，
Thiên giả thần bính chuyên kỳ hùng.,天假神柄專其雄。
"Phún vân tiết vụ tàng bán phúc,",噴雲泄霧藏半腹，
Tuy hữu tuyệt đỉnh thuỳ năng cùng?,雖有絕頂誰能窮？
"Ngã lai chính phùng thu vũ tiết,",我來正逢秋雨節，
Âm khí hối muội vô thanh phong.,陰氣晦昧無清風。
"Tiềm tâm mặc đảo nhược hữu ứng,",潛心默禱若有應，
Khởi phi chính trực năng cảm thông?,豈非正直能感通？
"Tu du tĩnh tảo chúng phong xuất,",須臾靜掃眾峰出，
Ngưỡng kiến đột ngột sanh thanh không.,仰見突兀撐青空。
"Tử Cái liên duyên tiếp Thiên Trụ,",紫蓋連延接天柱，
Thạch Lẫm đằng trịch đồi Chúc Dung.,石廩騰擲堆祝融。
"Sâm nhiên phách động hạ mã bái,",森然魄動下馬拜，
Tùng bách nhất kính xu Linh Cung.,松柏一逕趨靈宮。
"Phân tường đan trụ động quang thái,",紛牆丹柱動光彩，
Quỷ vật đồ hoạ điền thanh hồng.,鬼物圖畫填青紅。
"Thăng giai ủ lũ tiến bô tửu,",升階傴僂薦脯酒，
Dục dĩ phi bạc minh kỳ trung.,欲以菲薄明其衷。
"Miếu nội lão nhân thức thần ý,",廟內老人識神意，
Huy hu trinh tứ năng cúc cung.,睢盱偵伺能鞠躬。
"Thủ trì bôi giảo đạo ngã trịch,",手持盃珓導我擲，
Vân thử tối cát dư nạn đồng.,云此最吉餘難同。
"Thoán trục Man hoang hạnh bất tử,",竄逐蠻荒幸不死，
Y thực tài túc cam trường chung.,衣食纔足甘長終。
"Hầu vương tướng tướng vọng cửu tuyệt,",侯王將相望久絕，
Thần tung dục phúc nan vi công.,神縱欲福難為功。
"Dạ đầu Phật tự thướng cao các,",夜投佛寺上高閣，
Tinh nguyệt yểm ánh vân đồng lung.,星月掩映雲曈曨。
"Viên minh chung động bất tri thự,",猿鳴鐘動不知曙，
Cảo cảo hàn nhật sinh ư đông.,杲杲寒日生於東。
