vi,ch
"Vân An sơn lâu dạ xuy địch,",雲安山樓夜吹笛，
Giang thượng triều bình tống hành khách.,江上潮平送行客。
"Tam Ba nhất dạ thu dĩ sinh,",三巴一夜秋已生，
Giang thuyền dục khai văn địch thanh.,江船欲開聞笛聲。
"Địch thanh ô yết lâu đầu khởi,",笛聲嗚咽樓頭起，
Nguyệt minh xuy lạc Ba giang thuỷ.,月明吹落巴江水。
"Thuỳ thị Ngô Tùng Trương Quý Ưng,",誰是吳淞張季鷹，
Thuần lư quy tứ thu phong lý.,蓴鱸歸思秋風裡。
"Lan can bách chiết xuyên điểu sào,",闌干百折穿鳥巢，
Cước hạ táp táp văn giang đào.,腳下颯颯聞江濤。
"Xuất giáp hoàn sầu dạ viên cấp,",出峽還愁夜猿急，
Cử đầu duy kiến thương nhai cao.,舉頭惟見蒼崖高。
"Chu nhân thôi khách tiền than trú,",舟人催客前灘住，
Tửu tỉnh mộng giác tri hà xứ.,酒醒夢覺知何處。
"Bồng ảnh toàn già giáp khẩu yên,",篷影全遮硤口煙，
Lỗ thanh do nhiễu lâu tiền thụ.,櫓聲猶繞樓前樹。
"Kim dạ sơn lâu tống khách quy,",今夜山樓送客歸，
Kỷ thời xuy địch cố viên phi.,幾時吹笛故園扉。
"Tha hương mạc vong thù du tửu,",他鄉莫忘茱萸酒，
Chỉ đãi Giang Nam bạch nhạn phi.,只待江南白雁飛。
