vi,ch
"Lạc Du cổ viên tốt sâm sảng,",樂游古園崒森爽，
Yên miên bích thảo thê thê trưởng.,煙綿碧草萋萋長。
"Công tử hoa diên thế tối cao,",公子華筵勢最高，
Tần Xuyên đối tửu bình như chưởng.,秦川對酒平如掌。
"Trường sinh mộc biều thị chân suất,",長生木瓢示真率，
Cánh điều yên mã cuồng hoan thưởng.,更調鞍馬狂歡賞。
"Thanh xuân ba lãng Phù Dung viên,",青春波浪芙蓉園，
Bạch nhật lôi đình Giáp Thành trượng.,白日雷霆夾城仗。
"Xương hạp tình khai dật đãng đãng,",閶闔晴開昳蕩蕩，
Khúc Giang thuý mạc bài ngân bảng.,曲江翠幕排銀榜。
"Phất thuỷ đê hồi vũ tụ phiên,",拂水低徊舞袖翻，
Duyên vân thanh thiết ca thanh thượng.,緣雲清切歌聲上。
"Khước ức niên niên nhân tuý thì,",卻憶年年人醉時，
Chỉ kim vị tuý dĩ tiên bi.,只今未醉已先悲。
"Số hành bạch phát nả phao đắc,",數莖白髮那拋得，
Bách phạt thâm bôi diệc bất từ.,百罰深杯亦不辭。
"Thánh triều diệc tri tiện sĩ xú,",聖朝亦知賤士醜，
Nhất vật tự hà hoàng thiên tư.,一物自荷皇天慈。
"Thử thân ẩm bãi vô quy xứ,",此身飲罷無歸處，
Độc lập thương mang tự vịnh thi.,獨立蒼茫自詠詩。
