vi,ch
Đại thiên hành hoá hoàng thượng nhược viết:,代天行化皇上若曰。
Cái văn:,蓋聞：
"Nhân nghĩa chi cử, yếu tại an dân,",仁義之舉，要在安民，
"Điếu phạt chi sư, mạc tiên khử bạo.",弔伐之師，莫先去暴。
"Duy, ngã Đại Việt chi quốc,",惟，我大越之國，
Thực vi văn hiến chi bang.,實為文獻之邦。
"Sơn xuyên chi phong vực ký thù,",山川之封域既殊，
Nam bắc chi phong tục diệc dị.,南北之風俗亦異。
"Tự Triệu, Đinh, Lý, Trần chi triệu tạo ngã quốc,",自趙丁李陳之肇造我國，
"Dữ Hán, Đường, Tống, Nguyên nhi các đế nhất phương.",與漢唐宋元而各帝一方。
"Tuy cường nhược thì hữu bất đồng,",雖強弱時有不同
Nhi hào kiệt thế vị thường phạp.,而豪傑世未常乏。
"Cố Lưu Cung tham công dĩ thủ bại,",故劉龔貪功以取敗，
Nhi Triệu Tiết hiếu đại dĩ xúc vong.,而趙禼好大以促亡。
"Toa Đô ký cầm ư Hàm Tử quan,",唆都既擒於鹹子關，
Ô Mã hựu ế ư Bạch Đằng hải.,烏馬又殪於白藤海。
"Kê chư vãng cổ,",嵇諸往古，
Quyết hữu minh trưng.,厥有明徵。
Khoảnh nhân Hồ chính chi phiền hà.,頃因胡政之煩苛。
Chí sử nhân tâm chi oán bạn.,至使人心之怨叛。
"Cuồng Minh tứ khích, nhân dĩ độc ngã dân;",狂明伺隙，因以毒我民；
"Ác đảng hoài gian, cánh dĩ mại ngã quốc.",惡黨懷奸，竟以賣我國。
"Hân thương sinh ư ngược diễm,",焮蒼生於虐焰，
Hãm xích tử ư hoạ khanh.,陷赤子於禍坑。
"Khi thiên võng dân, quỷ kế cái thiên vạn trạng;",欺天罔民，詭計蓋千萬狀；
Liên binh kết hấn nẫm ác đãi nhị thập niên.,連兵結釁稔惡殆二十年。
"Bại nghĩa thương nhân, càn khôn kỷ hồ dục tức;",敗義傷仁，乾坤幾乎欲息；
"Trọng khoa hậu liễm, sơn trạch mi hữu kiết di.",重科厚歛，山澤靡有孑遺。
"Khai kim trường tái mạo lam chướng nhi phủ sơn đào sa,",開金場塞冒嵐瘴而斧山淘沙，
Thái minh châu tắc xúc giao long nhi căng yêu thộn hải.,採明珠則觸蛟龍而緪腰汆海。
"Nhiễu dân thiết huyền lộc chi hãm tịnh,",擾民設玄鹿之陷阱，
Điển vật chức thuý cầm chi võng la.,殄物織翠禽之網羅。
"Côn trùng thảo mộc giai bất đắc dĩ toại kỳ sinh,",昆虫草木皆不得以遂其生，
Quan quả điên liên câu bất hoạch dĩ an kỳ sở.,鰥寡顛連俱不獲以安其所。
Tuấn sinh linh chi huyết dĩ nhuận kiệt hiệt chi vẫn nha;,浚生靈之血以潤桀黠之吻牙；
Cực thổ mộc chi công dĩ sùng công tư chi giải vũ.,極土木之功以崇公私之廨宇。
"Châu lý chi chinh dao trọng khốn,",州里之征徭重困，
Lư diêm chi trữ trục giai không.,閭閻之杼柚皆空。
"Quyết Đông Hải chi thuỷ bất túc dĩ trạc kỳ ô,",決東海之水不足以濯其污，
Khánh Nam Sơn chi trúc bất túc dĩ thư kỳ ác.,罄南山之竹不足以書其惡。
"Thần dân chi sở cộng phẫn,",神民之所共憤，
Thiên địa chi sở bất dung.,天地之所不容。
Dư:,予：
"Phấn tích Lam Sơn,",奮跡藍山，
Thê thân hoang dã.,棲身荒野。
"Niệm thế thù khởi khả cộng đới,",念世讎豈可共戴，
Thệ nghịch tặc nan dữ câu sinh.,誓逆賊難與俱生。
"Thống tâm tật thủ giả thuỳ thập dư niên,",痛心疾首者垂十餘年，
Thường đảm ngoạ tân giả cái phi nhất nhật.,嘗膽臥薪者蓋非一日。
"Phát phẫn vong thực, mỗi nghiên đàm thao lược chi thư,",發憤忘食，每研覃韜略之書，
"Tức cổ nghiệm kim, tế suy cứu hưng vong chi lý.",即古驗今，細推究興亡之理。
"Đồ hồi chi chí,",圖回之志，
Ngộ mị bất vong.,寤寐不忘。
"Đương nghĩa kỳ sơ khởi chi thì,",當義旗初起之時，
Chính tặc thế phương trương chi nhật.,正賊勢方張之日。
Nại dĩ:,奈以：
"Nhân tài thu diệp,",人才秋葉，
Tuấn kiệt thần tinh.,俊傑晨星。
"Bôn tẩu tiên hậu giả ký phạp kỳ nhân,",奔走先後者既乏其人，
Mưu mô duy ác giả hựu quả kỳ trợ.,謀謨帷幄者又寡其助。
"Đặc dĩ cứu dân chi niệm, mỗi uất uất nhi dục đông;",特以救民之念，每鬱鬱而欲東；
"Cố ư đãi hiền chi xa, thường cấp cấp dĩ hư tả.",故於待賢之車，常汲汲已虛左。
Nhiên kỳ:,然其：
"Đắc nhân chi hiệu mang nhược vọng dương,",得人之效茫若望洋，
Do kỷ chi thành thậm ư chửng nịch.,由己之誠甚於拯溺。
"Phẫn hung đồ chi vị diệt,",憤兇徒之未滅，
Niệm quốc bộ chi tao truân.,念國步之遭迍。
"Linh Sơn chi thực tận kiêm tuần,",靈山之食盡兼旬，
Khôi Huyện chi chúng vô nhất lữ.,瑰縣之眾無一旅。
"Cái thiên dục khốn ngã dĩ giáng quyết nhiệm,",蓋天欲困我以降厥任，
Cố dữ ích lệ chí dĩ tế vu nan.,故與益勵志以濟于難。
"Yết can vi kỳ, manh lệ chi đồ tứ tập;",揭竿為旗，氓隸之徒四集
"Đầu giao hưởng sĩ, phụ tử chi binh nhất tâm.",投醪饗士，父子之兵一心。
"Dĩ nhược chế cường, hoặc công nhân chi bất bị;",以弱制彊，或攻人之不備；
