vi,ch
"Trường An nguyệt,",長安月，
Ly ly xuất hải kiều.,離離出海嶠。
"Dao kiến Tằng Thành ẩn bán luân,",遥見層城隱半輪，
Tiệm khan a các hàm sơ chiếu.,漸看阿閣銜初照。
"Liễm diễm hoàng kim ba,",瀲滟黄金波，
Đoàn viên bạch ngọc bàn.,團圓白玉盤。
"Thanh thiên lưu ảnh phi hồng nhuỵ,",青天流影披紅蕊，
Bạch lộ hàm huy phiếm tử lan.,白露含輝泛紫蘭。
"Tử lan hồng nhuỵ tây phong khởi,",紫蘭紅蕊西風起，
Cửu cù giáp đạo thu như thuỷ.,九衢夾道秋如水。
"Cẩm hoảng cao khiên hương vụ nùng,",錦幌高褰香霧濃，
Toả vi tà ánh khinh hà cử.,瑣闈斜映輕霞舉。
"Vụ trầm hà lạc thiên vũ khai,",霧沉霞落天宇開，
Vạn hộ thiên môn minh nguyệt lý.,萬戶千門明月裏。
"Nguyệt minh hạo hạo mạch tây đông,",月明皎皎陌西東，
Bách Tẩm thiều nghiêu vọng bất mê.,柏寢岧嶢望不迷。
"Hầu gia đài tạ quang tiên mãn,",侯家臺榭光先滿，
Thích lý sinh ca ảnh sạ đê.,戚裏笙歌影乍低。
"Trạc trạc phù dung sinh ngọc chiểu,",濯濯芙蓉生玉沼，
Quyên quyên dương liễu phú kim đê.,娟娟楊柳覆金堤。
"Phụng Hoàng lâu thượng xuy tiêu nữ,",鳳凰樓上吹簫女，
Tất suất đường trung chức cẩm thê.,蟋蟀堂中織錦妻。
"Biệt hữu thâm cung bế thâm viện,",別有深宮閉深院，
Niên niên tuế tuế sầu tương kiến.,年年歲歲愁相見。
"Kim ốc huỳnh lưu Trường Tín giai,",金屋螢流長信階，
Ỷ lung yến nhập Chiêu Dương điện.,綺櫳燕入昭陽殿。
"Triệu nữ thông tiêu thị ngự sàng,",趙女通宵侍禦床，
Ban Cơ thử tịch bi đoàn phiến.,班姬此夕悲團扇。
"Thu lai minh nguyệt chiếu Kim Vi,",秋來明月照金微，
Du hoàng sa bạch lộ uy di.,榆黄沙白路逶迤。
"Chinh phu tái thượng hành lân ảnh,",征夫塞上行憐影，
Thiếu phụ song tiền tưởng hoạ mi.,少婦窗前想畫眉。
"Thượng Lâm hồng nhạn thư trung hận,",上林鴻雁書中恨，
Bắc địa quan sơn địch lý bi.,北地關山笛裏悲。
"Thư trung địch lý không tương ức,",書中笛裏空相憶，
Kỷ kiến doanh khuy lệ triêm ức.,幾見盈虧淚沾臆。
"Hồng khuê mạo giảm lạc xuân hoa,",紅閨貌減落春華，
Ngọc Môn trường đoạn phùng thu sắc.,玉門腸斷逢秋色。
"Xuân hoa thu sắc đệ như lưu,",春華秋色遞如流，
Đông gia oán nữ thướng trang lâu.,東家怨女上妝樓。
"Lưu Tô trướng quyển sơ an kính,",流蘇帳卷初安鏡，
Phỉ thuý liêm khai tự thượng câu.,翡翠帘開自上鉤。
"Hà biên Chức Nữ kỳ thất tịch,",河邊織女期七夕，
Thiên thượng Thường Nga nại cửu thu.,天上嫦娥奈九秋。
"Thất tịch phong đào hoàn khả độ,",七夕風濤還可渡，
Cửu thu sương lộ quýnh sinh sầu.,九秋霜露迥生愁。
"Cửu thu thất tịch tu du dị,",九秋七夕須臾易，
Thịnh niên nhất khứ chân kham tích.,盛年一去真堪惜。
"Khả lân dương thái nhập la vi,",可憐揚彩入羅幃，
Khả lân lưu tố ngưng dao tịch.,可憐流素凝瑤席。
"Vị tác đương lô mại tửu nhân,",未作當壚賣酒人，
Nan yêu nhập toạ viên cầm khách.,難邀入座援琴客。
"Khách tâm đối thử thán sa đà,",客心對此嘆蹉跎，
Ô thước nam phi khả nại hà.,烏鵲南飛可奈何。
"Giang đầu thương phụ di thuyền đãi,",江頭商婦移船待，
Hồ thượng giai nhân hiệp sắt ca.,湖上佳人挾瑟歌。
"Thử thời bằng lan thuỳ ngọc trợ,",此時憑欄垂玉箸，
Thử thời diệt chúc liễm thanh nga.,此時滅燭斂青娥。
"Ngọc trợ thanh nga khổ giam oán,",玉箸青娥苦緘怨，
Giam oán hàm tình bất năng thổ.,緘怨含情不能吐。
"Lệ sắc xuân nghiên đào lý hề,",麗色春妍桃李蹊，
Trì huy vãn mị xương bồ phố.,遲輝晚媚菖蒲浦。
"Dữ quân tương tư tại nhị bát,",與君相思在二八，
Dữ quân tương kỳ tại tam ngũ.,與君相期在三五。
"Không trì dạ bị thiếp uyên ương,",空持夜被貼鴛鴦，
Không trì noãn ngọc kình anh vũ.,空持暖玉擎鸚鵡。
"Thanh sam khấp yểm tỳ bà huyền,",青衫泣掩琵琶弦，
Ngân bình nhẫn đối không hầu ngữ.,銀屏忍對箜篌語。
"Không hầu tái đàn nguyệt dĩ vi,",箜篌再彈月已微，
Xuyên lang nhập thát ái tà huy.,穿廊入闥靄斜輝。
"Quy tâm nhật viễn đại đao chiết,",歸心日遠大刀折，
Cực mục thiên nhai phá kính phi.,極目天涯破鏡飛。
