vi,ch
"Văn chương hữu thần giao hữu đạo,",文章有神交有道，
"Đoan, Phục đắc chi danh dự tảo.",端復得之名譽早。
"Ái khách mãn đường tận hào hàn,",愛客滿堂盡豪翰，
Khai diên thượng nhật tư phương thảo.,開筵上日思芳草。
"An đắc kiện bộ di viễn mai,",安得健步移遠梅，
Loạn tháp phồn hoa hướng tình hạo.,亂插繁花向晴昊。
"Thiên lý do tàn cựu băng tuyết,",千里猶殘舊冰雪，
Bách hồ thả thí khai hoài bão.,百壺且試開懷抱。
"Thuỳ lão ác văn chiến cổ bi,",垂老惡聞戰鼓悲，
Cấp trường vi hoãn ưu tâm đảo.,急觴為緩懮心搗。
"Thiếu niên nỗ lực túng đàm tiếu,",少年努力縱談笑，
Khán ngã hình dung dĩ khô cảo.,看我形容已枯槁。
"Toạ trung Tiết Hoa thiện tuý ca,",坐中薛華善醉歌，
Ca từ tự tác phong cách lão.,歌辭自作風格老。
"Cận lai hải nội vi trường cú,",近來海內為長句，
Nhữ dữ Sơn Đông Lý Bạch hảo.,汝與山東李白好。
"Hà, Lưu, Thẩm, Tạ lực vị công,",何劉沈謝力未工，
Tài kiêm Bão Chiếu sầu tuyệt đảo.,才兼鮑昭愁絕倒。
"Chư sinh phả tận tân tri lạc,",諸生頗盡新知樂，
Vạn sự chung thương bất tự bảo.,萬事終傷不自保。
"Khí hàm nhật lạc tây phong lai,",氣酣日落西風來，
Nguyện xuy dã thuỷ thiêm kim bôi.,願吹野水添金杯。
"Như thằng chi tửu thường khoái ý,",如澠之酒常快意，
Diệc tri cùng sầu an tại tai.,亦知窮愁安在哉。
"Hốt ức vũ thì thu tỉnh tháp,",忽憶雨時秋井塌，
"Cổ nhân bạch cốt sinh thanh đài,",古人白骨生青苔，
Như hà bất ẩm linh tâm ai.,如何不飲令心哀。
