vi,ch
"Bạch hồng quán nhật thiên man man,",白虹貫日天漫漫，
Phong tiêu tiêu hề Dịch Thuỷ hàn.,風蕭蕭兮易水寒。
"Ca thanh khảng khái kim thanh liệt,",歌聲慷慨金聲烈，
Kinh Kha tòng thử nhập Tần quan.,荊軻從此入秦關。
"Nhập Tần quan hề trì chuỷ thủ,",入秦關兮持匕首，
Lục quốc thâm cừu nhất dẫn thủ.,六國深仇一引手。
"Điện thượng thốt nhiên nhất chấn kinh,",殿上卒然一震驚，
Tả hữu thủ bác vương hoàn trụ.,左右手搏王環柱。
"Giai hạ Vũ Dương như tử nhân,",階下舞陽如死人，
Thần dũng nghị nhiên duy độc quân.,神勇毅然惟獨君。
"Túng nhiên bất sát Tần hoàng đế,",縱然不殺秦皇帝，
Dã toán cổ kim vô bỉ luân.,也算古今無比倫。
"Quái để hành tung nguyên thị ẩn,",怪底行蹤原市隱，
Tằng dữ Yên Đan vô túc phận.,曾與燕丹無夙分。
"Sát thân chỉ vi thụ nhân tri,",殺身只為受人知，
Đồ đắc Điền Quang khinh nhất vẫn.,徒得田光輕一刎。
"Khả liên vô cô Phàn Ô Kỳ,",可憐無辜樊於期，
Dĩ đầu tá nhân vô hoàn thì.,以頭借人無還時。
"Nhất triêu uổng sát tam liệt sĩ,",一朝枉殺三烈士，
Hàm Dương thiên tử chung nguy nguy.,咸陽天子終巍巍。
"Yến giao nhất vọng giai trần thổ,",燕郊一望皆塵土，
Thu nhật thu phong mãn quan lộ.,秋日秋風滿官路。
"Thị thượng ca thanh bất phục văn,",市上歌聲不復聞，
Dịch Thuỷ ba lưu tự kim cổ.,易水波流自今古。
"Cố lí chỉ cức tung phục hoành,",故里枳棘縱復橫，
Chỉ hữu tàn bi do vị khuynh.,只有殘碑猶未傾。
"Mạc đạo chuỷ thủ canh vô tế,",莫道匕首更無濟，
Kiệt can trảm mộc vi tiên thanh.,楬竿斬木為先聲。
