vi,ch
"Phong quang nhiễm nhiễm đông tây mạch,",風光冉冉東西陌，
Kỷ nhật kiều hồn tầm bất đắc.,幾日嬌魂尋不得。
"Mật phòng vũ khách loại phương tâm,",蜜房羽客類芳心，
Dã diệp xương điều biến tương thức.,冶葉倡條遍相識。
"Noãn ái huy trì đào thụ tây,",暖藹輝遲桃樹西，
Cao hoàn lập cộng đào hoàn tề.,高鬟立共桃鬟齊。
Hùng long thư phụng diểu hà hứa?,雄龍雌鳳杳何許？
Nhứ loạn ty phồn thiên diệc mê.,絮亂絲繁天亦迷。
"Tuý khởi vi dương nhược sơ thự,",醉起微陽若初曙，
Ánh liêm mộng đoạn văn tàn ngữ.,映簾夢斷聞殘語。
"Sầu tương thiết võng quyến san hô,",愁將鐵網罥珊瑚，
Hải khoát thiên khoan mê xứ sở.,海闊天寬迷處所。
"Y đới vô tình hữu khoan trách,",衣帶無情有寬窄，
Xuân yên tự bích thu sương bạch.,春煙自碧秋霜白。
"Nghiên đan phách thạch thiên bất tri,",研丹擘石天不知，
Nguyện đắc thiên lao toả oan phách.,願得天牢鎖冤魄。
"Giáp la uỷ khiếp đan tiêu khởi,",夾羅委篋單綃起，
Hương cơ lãnh sấn tranh tranh bội.,香肌冷襯琤琤佩。
"Kim nhật đông phong tự bất thăng,",今日東風自不勝，
Hoá tác u quang nhập tây hải.,化作幽光入西海。
