vi,ch
"Thập nhật hoạ nhất thuỷ,",十日畫一水，
Ngũ nhật hoạ nhất thạch.,五日畫一石。
"Năng sự bất thụ tương xúc bách,",能事不受相促迫，
Vương Tể thuỷ khẳng lưu chân tích.,王宰始肯留真跡。
"Tráng tai Côn Lôn phương hồ đồ,",壯哉崑崙方壺圖，
Quải quân cao đường chi tố bích.,掛君高堂之素壁。
"Ba Lăng, Động Đình nhật bản đông,",巴陵洞庭日本東，
"Xích ngạn thuỷ dữ Ngân hà thông,",赤岸水與銀河通，
Trung hữu vân khí tuỳ phi long.,中有雲氣隨飛龍。
"Chu nhân ngư tử nhập phố tự,",舟人漁子入浦漵，
Sơn mộc tận á hồng đào phong.,山木盡亞洪濤風。
"Vưu công viễn thế cổ mạc tỷ,",尤工遠勢古莫比，
Chỉ xích ưng tu luận vạn lý.,咫尺應須論萬里。
"Yên đắc Tinh Châu khoái tiễn đao,",焉得并州快剪刀，
Tiễn thủ Ngô Tùng bán giang thuỷ.,翦取吳松半江水。
