vi,ch
"Cửu Giang thập niên đông đại tuyết,",九江十年冬大雪，
Giang thuỷ sinh băng thụ chi chiết.,江水生冰樹枝折。
"Bách điểu vô thực đông tây phi,",百鳥無食東西飛，
Trung hữu lữ nhạn thanh tối ky.,中有旅鴈聲最飢。
"Tuyết trung trác thảo băng thượng túc,",雪中啄草冰上宿，
Sí lãnh đằng không phi động trì.,翅冷騰空飛動遲。
"Giang đồng trì võng bộ thương khứ,",江童持網捕將去，
"Thủ huề nhập thị, sinh mại chi.",手攜入市生賣之。
"Ngã bản bắc nhân kim khiển trích,",我本北人今譴謫，
Nhân điểu tuy thù đồng thị khách.,人鳥雖殊同是客。
"Kiến thử khách điểu thương khách nhân,",見此客鳥傷客人，
"Thục nhữ, phóng nhữ phi nhập vân.",贖汝放汝飛入雲。
Nhạn! Nhạn! Nhữ phi hướng hà xứ?,鴈！鴈！汝飛向何處？
Đệ nhất mạc phi tây bắc khứ!,第一莫飛西北去。
"Hoài Tây hữu tặc thảo vị bình,",淮西有賊討未平，
Bách vạn giáp binh cửu đồn tụ.,百萬甲兵久屯聚。
"Quan quân, tặc quân, tương thủ lão,",官軍賊軍相守老，
Thực tận binh cùng tương cập nhữ.,食盡兵窮將及汝。
Kiện nhi cơ ngã xạ nhữ khiết.,健兒飢餓射汝喫，
Bạt nhữ sí linh vi tiễn vũ.,拔汝翅翎爲箭羽。
