vi,ch
"Thế sự phù vân, bão kiến cẩu y biến thái.",世事浮雲，飽見狗衣變態。
"Lợi trường nhiệt hoả, không giáo nghĩ khổn thành hôi.",利腸熱火，空教蟻悃成灰。
"Trị thử Lê thị thỉ cương, bỉ Tây cừ cấu nạn.",値此黎氏弛綱，彼西渠搆難。
"Sạ thính Ô châu cổ động, dũng dược khu đoàn hổ chi quần dương.",乍聽烏州鼓動，踴躍驅摶虎之羣羊。
"Điều văn long đỗ chung di, gian quan cân độ giang chi thất mã.",條聞龍肚鐘移，間關跟渡江之匹馬。
"Văn dục phấn, phụ sơn chi thế,",蚊欲奮，負山之勢，
"Hồ nghĩ dương, thác hổ chi uy.",狐擬揚，托虎之威。
"Tồn cô sơ học Tấn Trình Anh, chuyển tác Bao Tư phục Sở tá.",存孤初學晉程嬰，轉作包胥復楚佐。
"Hán hậu hy hàn nhụ tử, phiên thành Tín Quốc tù Yên.",漢後希韓孺子，翻成信國囚燕。
"Ngộ cơ chi biến mi thường, hành sự chi tình hà hạ.",遇機之變靡常，行事之情何暇。
"Vạn lý tằng kinh đông tuyết, mộc đầu vị thế nhi tự khôn.",萬里曾經冬雪，沐頭未剃而自髠。
"Thập niên vô nại bắc phong, xuy quan bất huỷ nhi tận liệt.",十年無奈北風，吹冠不毀而盡裂。
"Tâm phảng phất thổ nê chi dẫn, thân y hy đầu chúc chi nga.",心彷彿吐泥之蚓，身依稀投爥之蛾。
"Trở nhự trường cẩu ổ kê tê, lạc an hữu địa.",沮洳場狗塢鷄栖，樂安有地。
"U tù cảnh thử can trùng tí, tặc dư tuỳ thiên.",幽囚境鼠肝蟲臂，賊予隨天。
"Phương thốn trung duy thận vu tòng, chức phận nội hạt năng vô quý.",方寸中惟愼于從，職分內曷能無愧。
"Bắc hải vị sinh, mã giác ti oanh quế lĩnh cửu hồi trường.",北海未生，馬角絲縈桂嶺九迴腸。
"Đỉnh hồ mạc đãi, long nhiêm cầu tích băng thiên song quán lệ.",鼎湖莫逮，龍髯球滴冰天雙串淚。
"Công nghĩa dĩ phi cảm vọng, tư tình phu phục hà ngôn.",公義已非敢望，私情夫復何言。
"Bạch vân toả thụ chỉ du phần, không chúc hệ thư chi nhạn.",白雲鎖樹指楡枌，空囑繫書之雁。
"Hồng nhật hàm sơn chiêm Dĩ Hỗ, thiên tàm phản bô chi ô.",紅日含山瞻屺岵，偏慚反哺之烏。
"Trí sử trung hiếu tự chi lưỡng khuy, vi khiếm bô bá thần chi nhất tử.",致使忠孝字之兩虧，爲欠逋播臣之一死。
"Ta tự cổ thuỳ năng vô tử, dục liễu phận khủng hoặc thương nhân.",嗟自古誰能無死，欲了分恐或傷仁。
"Thả vi nhân thục bất duyệt sinh, dục tòng quyền khủng vưu hại nghĩa.",且爲人孰不悅生，欲從權恐尤害義。
"Minh bạch đãn tuần thiên lý, thư hoàng hề quản nhân ngôn.",明白但循天理，雌黄奚管人言。
"Ngưu mã nhậm kỳ hô, vô tu tâm tức vô quý sắc.",牛馬任其呼，無羞心卽無愧色。
"Long xà an sở ngộ, bất oán thiên diệc bất vưu nhân.",龍蛇安所遇，不怨天亦不尤人。
Ô hô!,嗚呼。
"Thú hựu thủ khâu chi hồ, cầm hựu nam chi chi điểu.",獸有首邱之狐，禽有南枝之鳥。
"Tống Trân Bùi Bá [Kỳ] tại tích, củng bắc kiến đan trung.",宋珍裴伯[耆]在昔，拱北見丹衷。
"Duy Liêu Lê Quang Bí hà nhân, chỉ nam hoàn tố nguyện.",惟僚黎光賁何人，指南完素願。
"Nhi kim dư sinh do vị mẫn, hạo thủ cánh hà quy.",而今餘生猶未冺，皓首竟何歸。
"Du du bỉ thiên, hạt kỳ hữu cực.",悠悠彼天，曷其有極。
