vi,ch
"Y dư Thành Thang, tuấn triết ôn lương.",猗歟成湯，濬哲溫良。
Nhân phong táp đạp hề cửu hữu; nghĩa võ hiển hách hề tứ phương.,仁風馺沓兮九有；義武顯赫兮四方。
Nãi trượng đại thuận; cách Hạ uy Thương.,乃丈大順；革夏委商。
Tham thiên địa dĩ lập cực; chính vạn quốc chi kỷ cương.,參天地以立極；正萬國之紀綱。
Tảo phân ai ư tuyệt vực; đào nguyên khí ư hà hoang.,掃氛埃於絕域；陶元氣於遐荒。
Nhiên do tàm di đức chi vị nhất; khủng đại đạo chi mị thường.,然由慚台德之未一；恐大道之靡常。
Nãi mậu chiêu kỳ đại đức; tư dư nhật nhi tề quang.,乃懋昭其大德；思與日而齊光。
Viên tác bàn dĩ nhật tục; thứ táo tuyết nhi chiêu chương.,爰作盤以日俗；庶澡雪而昭彰。
Thị bàn dã:,是盤也：
Hình mô kiên phác; khí lượng khôi hồng.,形模堅朴；器量恢洪。
Viên quy tượng nhật; thụ phù hàm không.,圓規象日；受夫含空。
Trạm trạm hồ ba quang chi đãng dạng; uyên uyên hồ thuỷ sắc chi linh lung.,湛湛乎波光之蕩漾；淵淵乎水色之玲瓏。
Trĩ Liêm Tuyền nhi trần Thái Trạch; nô Thừa Lộ nhi trĩ Kim Đồng.,涬廉泉而塵太澤；奴承露而稚金銅。
Thử ngô tri kỳ phi đồ sự ư tẩy địch; nhi tất thuỳ huấn ư vô cùng giả dã.,此吾知其非徒事於洗滌，而必垂訓於無窮者也。
"Cái nhật giả, quân chi tượng; bàn giả, nguyệt chi hình.",蓋日者君之象；盤者月之形。
Tuy viên phách bất dịch kỳ cựu thể; nhi linh diệu thường đổ kỳ tân minh.,雖圓魄不易其舊體；而靈曜常覩其新明。
Niệm thánh nhân chi thể đạo; cố ư tư nhi hữu đắc.,念聖人之體道；固於斯而有得。
Nguyên giáng trung chi hằng tính; nhược nhật nguyệt chi hách dịch.,原降衷之恆性；若日月之赫奕。
Khủng tư dục chi nhất manh; như vân vụ chi tứ tắc.,恐私慾之一萌；如雲霧之四塞。
Luỵ chí tính chi hư minh; thất bản tâm chi động triệt.,累至性之虛明；失本心之洞徹。
Nãi tác minh ư tư bàn; ngụ chí thành chi bất tức.,乃作明於斯盤；寓至誠之不息。
Ký táo tuyết kỳ hôn ai; hựu khắc minh ư tuấn đức.,既澡雪其昏埃；又克明於俊德。
Vu dĩ tồn tỉnh sát chi công; vu dĩ cực hàm dưỡng chi lực.,于以存省察之功；于以極函養之力。
Vu dĩ chiêu trạc trạc chi linh; vu dĩ trứ hoàng hoàng chi thực.,于以昭濯濯之靈；于以著煌煌之寔。
Vu dĩ tiêu chí thiện ư tư dân; vu dĩ tẩy cựu ô ư vạn quốc.,于以標至善於斯民；于以洗舊污於萬國。
"Vu dĩ thích tiền nhật chi tàm tâm, vu dĩ thuỳ hậu vương chi phi tắc.",于以釋前日之慚心；于以垂後王之丕則。
Thử kỳ công dụng khả dĩ phối ư càn khôn; tính tình khả dĩ đồng ư nhật nguyệt.,此其功用可以配於乾坤；性情可以同於日月。
"Khởi chỉ sơ luân kỳ bì phu, nhi vọng nhất thân chi quyên khiết dã tai.",豈止疏淪其皮膚；而望一身之蠲潔也哉。
Tưởng kỳ:,想其：
Trường mộc tắc hưu tường trường phát; nhật dục tắc thánh kính nhật tê.,長沐則休祥長發；日浴則聖敬日躋。
Lẫm lẫm hồ nhược lâm uyên chi khủng truỵ; lãnh lãnh hồ nhược khải ốc chi dĩ thuỳ.,凜凜乎若臨淵之恐墜；冷冷乎若啟沃之已垂。
Ký tiễn phất ư Tang Lâm chi đảo vũ; hựu trai túc ư Sằn Dã chi tệ nghi.,既湔祓於桑林之禱雨；又齋肅於莘野之弊儀。
"Ác phát vị hy, tư thi trạch ư bách tính; táo thân nhi tịnh, chiêu tuấn khiết ư cửu vi.",握髮未晞，思施擇於百姓；澡身而淨，昭濬潔於九圍。
Bàn nhất dụng nhi minh nhất quy; tâm dũ oánh nhi đức dũ huy.,盤一用而銘一規；心愈瑩而德愈輝。
Kỵ phù:,暨夫：
"Khắc khoan khắc nhân, chương tín triệu dân.",克寬克仁，彰信兆民。
"Bách lộc thị tổng, vi thiên hạ dân.",百祿是總，為天下民。
"Thể càn khôn chi phúc tái, dữ vạn vật nhi vi xuân.",体乾坤之覆載，與萬物而為春。
