vi,ch
"Cựu tuế dĩ án tân tuế bức,",舊歲已晏新歲逼，
Sơn thành tuyết phi bắc phong liệt.,山城雪飛北風烈。
"Dao phu hà biên hành thả khốc,",徭夫河邊行且哭，
Sa hàn thuỷ băng đống thương cốt.,沙寒水冰凍傷骨。
"Trường quan khiếu hào lại trì đột,",長官叫號吏馳突，
Phủ thiếp liên thôi trúc hà tốt.,府帖連催築河卒。
"Nhất niên trưng cầu bất thiểu quyên,",一年徵求不少蠲，
Bần gia mại nam phú mại điền.,貧家賣男富賣田。
"Bạch kim túng hữu phi địa sản,",白金縱有非地產，
Nhất lạng dĩ trị thiên đồng tiễn.,一兩已值千銅錢。
"Vãng thời nhân gia hữu trừ túc,",往時人家有儲粟，
Kim tuế nhân gia phạn bất túc.,今歲人家飯不足。
"Cơ hạc phiên phi bất uý nhân,",飢鶴翻飛不畏人，
Lão nha minh táo nhật cận ốc.,老鴉鳴噪日近屋。
"Sinh nam trưởng thành tụ tỷ lân,",生男長成聚比鄰，
Sinh nữ lạc địa tư giá nhân.,生女落地思嫁人。
"Quan gia tư gia các hữu vụ,",官家私家各有務，
Bách tuế khởi chỉ liệu nhất thân?,百歲豈止療一身?
"Cận văn hồ thố diệc trưng cập,",近聞狐兔亦徵及，
Liệt võng trì tăng biến sơn vực.,列網持矰遍山域。
"Dã nhân tri điền bất tri lạp,",野人知田不知獵，
Bồng thỉ tang cung xạ bất đắc.,蓬矢桑弓射不得。
"Ta hu kim tích khởi dị tình,",嗟吁今昔豈異情，
Tích thời tân niên ca mãn thành.,昔時新年歌滿城。
"Minh triêu diệc thị tân niên đáo,",明朝亦是新年到，
Bắc xá đông lân văn khốc thanh.,北舍東鄰聞哭聲。
