vi,ch
"Dạ ngoạ tằng văn hải đào thanh,",夜臥曾聞海濤聲，
Hiểu hành chân kiến hải đào minh.,曉行真見海濤鳴。
"Nguỵ dị đại quan nãi như thị,",詭異大觀乃如是，
Hồng lan dục hám sơn câu khuynh.,洪瀾欲撼山俱傾。
"Tích thời Tôn Xác chí dục tráng,",昔時宗愨志欲壯，
Thừa phong dục phá vạn lý lãng.,乘風欲破萬里浪。
"Nam minh phù dao nan hứng kỳ,",南溟扶搖難興期，
Hà như ngoạn âu Đông hải thượng.,何如玩鷗東海上。
"Bàng hữu loạn thạch lập thôi ngôi,",旁有亂石立崔嵬，
Vân thị tích nhân thuỳ điếu đài.,云是昔人垂釣臺。
"Ngã dục phi thảo tầm cựu tích,",我欲披草尋舊蹟，
Bạch sa thố tạp ấn thương đài.,白沙錯雜印蒼苔。
