vi,ch
"Tiên cương bạch mã hoàng kim lặc,",絲韁白馬黃金勒，
Phó ngự môn tiền khổ xúc bức.,僕御門前苦促逼。
"Đinh ninh ác thủ tạm trù trù,",叮嚀握手蹔躊蹰，
Dục trú tu du cánh bất đắc.,欲住須臾竟不得。
"Tâm tri thử biệt vô hoàn kỳ,",心知此别無還期，
Do vấn quân quy thị kỷ thì.,猶問君歸是幾時。
"Tâm tri thử biệt thư nan ký,",心知此别書難寄，
Do vấn chinh hồng hà nhật chí.,猶問征鴻何日至。
"Vi quân chỉnh phái quân thượng an,",為君整轡君上鞍，
Tần tần lặc mã hồi đầu khán.,頻頻勒馬回頭看。
"Vô tình mã túc như phi điện,",無情馬足如飛電，
Lộ chuyển kiều hồi quân bất kiến.,路轉橋回君不見。
"Quy lai trang các song lệ thuỳ,",歸來妝閣雙淚垂，
Thử thân ngộ giá du hiệp nhi.,此身誤嫁逰俠兒。
