vi,ch
"Loan loan nguyệt xuất quải thành đầu,",彎彎月出挂城頭，
Thành đầu nguyệt xuất chiếu Lương Châu.,城頭月出照涼州。
"Lương Châu thất lý thập vạn gia,",涼州七里十萬家，
Hồ nhân bán giải đàn tỳ bà.,胡人半解彈琵琶。
"Tỳ bà nhất khúc trường kham đoạn,",琵琶一曲腸堪斷，
"Phong tiêu tiêu hề dạ man man,",風蕭蕭兮夜漫漫。
Hà Tây mạc trung đa cố nhân.,河西幕中多故人，
Cố nhân biệt lai tam ngũ xuân.,故人別來三五春。
"Hoa môn lâu tiền kiến thu thảo,",花門樓前見秋草，
Khởi năng bần tiện tương khan lão.,豈能貧賤相看老。
"Nhất sinh đại tiếu năng kỷ hồi,",一生大笑能幾回，
Đẩu tửu tương phùng tu tuý đảo.,斗酒相逢須醉倒。
