vi,ch
"Trường phong mai vân mãng thiên lý,",長風霾雲莽千里，
Vân khí bồng bồng thiên mạo thuỷ.,雲氣蓬蓬天冒水。
"Phong thu vân tán ba sạ bình,",風收雲散波乍平，
Đảo chuyển thanh thiên tác hồ để.,倒轉青天作湖底。
"Sơ khan lạc nhật trầm ba hồng,",初看落日沉波紅，
Tố nguyệt dục thăng thiên liễm dung.,素月欲升天斂容。
"Chu nhân hồi thủ tận đông vọng,",舟人回首盡東望，
Thôn thổ cố tại Phùng Di cung.,吞吐故在馮夷宮。
"Tu du hốt tự ba tâm thượng,",須臾忽自波心上，
Kính diện hoành khai thập dư trượng.,鏡面橫開十餘丈。
"Nguyệt quang tẩm thuỷ thuỷ tẩm thiên,",月光浸水水浸天，
Nhất phái không minh hỗ hồi đãng.,一派空明互回蕩。
"Thử thời ly long tiềm tối thâm,",此時驪龍潛最深，
Mục huyễn bất đắc hàm châu ngâm.,目眩不得銜珠吟。
"Cự ngư vô tri tác đằng xước,",巨魚無知作騰踔，
Lân giáp nhất động thiên hoàng kim.,鱗甲一動千黄金。
"Nhân gian thử cảnh tri nan tất,",人間此境知難必，
Khoái ý phiên tòng ngẫu nhiên đắc.,快意翻從偶然得。
"Dao văn ngư phủ xướng ca lai,",遥聞漁父唱歌來，
Thuỷ giác trung thu thị kim tịch.,始覺中秋是今夕。
