vi,ch
"Ngô châu nhất sơn thị An Lão,",吾州一山是安老，
Thông thông uất uất hà tiên hảo.,蔥蔥鬱鬱何鮮好。
"Ngã tằng lịch quá vạn trùng sơn,",我曾歷過萬重山，
Khước quái bất qua thử sơn đạo.,卻怪不過此山道。
"Thử sơn dữ ngã tối tương lân,",此山與我最相鄰，
Hiểu thuý hôn âm nhập hộ tần.,曉翠昏陰入戶頻。
"Bình nguyên tuyệt nghiễn bán không biểu,",平原絕巘半空表，
Viễn vọng nghi thị độc lập nhân.,遠望疑是獨立人。
"Sơn cận ngã vô khoảnh khắc bộ,",山近我無頃刻步，
Ngã quy sơn nghinh bán nhật lộ.,我歸山迎半日路。
"Bỉ thử địch diện hân hân nhiên,",彼此覿面欣欣然，
Uyển nhược tương liên bất tương ngỗ.,宛若相憐不相忤。
"Xuân tiền các lão Nguyễn Bàng Linh,",春前各老阮龐齡，
Phỏng ngã ước ngã thử sơn hành.,訪我約我此山行。
"Ngã cửu suy bệnh dật hứng thiểu,",我久衰病逸興少，
Hà dĩ đối thử du nhiên sinh.,何以對此油然生。
"Cận văn sơn khê tiệm mao tắc,",近聞山溪漸茅塞，
Miễn cưỡng phù cùng thả nhất trắc.,勉強扶筇且一陟。
"Sơn danh An Lão lão giả an,",山名安老老者安，
Hoặc giả vãn niên lưỡng tương đắc.,或者晚年兩相得。
