vi,ch
"Long Môn dược thuỷ tam thiên túng,",龍門躍水三千縱，
Bắc hải du côn vọng nhi khấp.,北海遊鯤望而泣。
"Bán nguyệt hồ đầu nhất dạ tiêu,",半月湖頭一夜霄，
Sạ giác tiềm lân trạo ba lập.,乍覺潛鱗掉波立。
"Sứ quân diệu đắc Tôn gia pháp,",使君妙得孫家法，
Mạo thuỷ hữu thần chỉ do thấp.,貌水有神紙猶濕。
"Tín thủ niêm thành hoạt lý ngư,",信手拈成活鯉魚，
Sỉ khẩu ngang đằng ngưỡng thiên hấp.,哆口昂騰仰天吸。
"Phiên thân dục dược thế như cấp,",翻身欲躍勢如急，
Song nhãn huỳnh huỳnh nhĩ tập tập.,雙眼熒熒耳戢戢。
"Mê ly nguyệt ảnh dạng bích y,",迷離月影漾碧漪，
Tảo giám thiên trùng xuất kỳ liệp.,藻鑑千重出鬐鬣。
"Ngư long biến hoá sự an tri,",魚龍變化事安知，
Tứ hải phong vân hội hữu kỳ.,四海風雲會有期。
"Như kim mạc trục cầm cao khứ,",如今莫逐琴高去，
Lưu dữ nhân gian tác vũ sư.,留與人間作雨師。
