vi,ch
"Hán hoàng trọng sắc tư khuynh quốc,",漢皇重色思傾國，
Ngự vũ đa niên cầu bất đắc.,御宇多年求不得。
"Dương gia hữu nữ sơ trưởng thành,",楊家有女初長成，
Dưỡng tại thâm khuê nhân vị thức.,養在深閨人未識。
"Thiên sinh lệ chất nan tự khí,",天生麗質難自棄，
Nhất triêu tuyển tại quân vương trắc.,一朝選在君王側。
"Hồi mâu nhất tiếu bách mị sinh,",回眸一笑百媚生，
Lục cung phấn đại vô nhan sắc.,六宮粉黛無顏色。
"Xuân hàn tứ dục Hoa Thanh trì,",春寒賜浴華清池，
Ôn Tuyền thuỷ hoạt tẩy ngưng chi.,溫泉水滑洗凝脂。
"Thị nhi phù khởi kiều vô lực,",侍兒扶起嬌無力，
Thuỷ thị tân thừa ân trạch thì.,始是新承恩澤時。
"Vân mấn hoa nhan kim bộ dao,",雲鬢花顏金步搖，
Phù dung trướng noãn độ xuân tiêu.,芙蓉帳暖度春宵。
"Xuân tiêu khổ đoản nhật cao khởi,",春宵苦短日高起，
Tòng thử quân vương bất tảo triều.,從此君王不早朝。
"Thừa hoan thị yến vô nhàn hạ,",承歡侍宴無閑暇，
Xuân tòng xuân du dạ chuyên dạ.,春從春遊夜專夜。
"Hậu cung giai lệ tam thiên nhân,",後宮佳麗三千人，
Tam thiên sủng ái tại nhất thân.,三千寵愛在一身。
"Kim ốc trang thành kiều thị dạ,",金屋妝成嬌侍夜，
Ngọc lâu yến bãi tuý hoà xuân.,玉樓宴罷醉和春。
"Tỷ muội đệ huynh giai liệt thổ,",姊妹弟兄皆列土，
Khả liên quang thái sinh môn hộ.,可憐光彩生門戶。
"Toại linh thiên hạ phụ mẫu tâm,",遂令天下父母心，
Bất trọng sinh nam trọng sinh nữ.,不重生男重生女。
"Ly cung cao xứ nhập thanh vân,",驪宮高處入青雲，
Tiên nhạc phong phiêu xứ xứ văn.,仙樂風飄處處聞。
"Hoãn ca mạn vũ ngưng ty trúc,",緩歌慢舞凝絲竹，
Tận nhật quân vương khan bất túc.,盡日君王看不足。
"Ngư Dương bề cổ động địa lai,",漁陽鼙鼓動地來，
Kinh phá Nghê thường vũ y khúc.,驚破霓裳羽衣曲。
"Cửu trùng thành khuyết yên trần sinh,",九重城闕煙塵生，
Thiên thặng vạn kỵ tây nam hành.,千乘萬騎西南行。
"Thuý hoa dao dao hành phục chỉ,",翠華搖搖行復止，
Tây xuất đô môn bách dư lý.,西出都門百餘里。
"Lục quân bất phát vô nại hà,",六軍不發無奈何，
Uyển chuyển nga mi mã tiền tử.,宛轉蛾眉馬前死。
"Hoa điền uỷ địa vô nhân thu,",花鈿委地無人收，
"Thuý kiều, kim tước, ngọc tao đầu.",翠翹金雀玉搔頭。
"Quân vương yểm diện cứu bất đắc,",君王掩面救不得，
Hồi khan huyết lệ tương hoà lưu.,回看血淚相和流。
"Hoàng ai tản mạn phong tiêu tác,",黃埃散漫風蕭索，
Vân sạn oanh vu đăng Kiếm Các.,雲棧縈紆登劍閣。
"Nga My sơn hạ thiểu nhân hành,",峨嵋山下少人行，
Tinh kỳ vô quang nhật sắc bạc.,旌旗無光日色薄。
"Thục giang thuỷ bích, Thục sơn thanh,",蜀江水碧蜀山青，
Thánh chúa triêu triêu mộ mộ tình.,聖主朝朝暮暮情。
"Hành cung kiến nguyệt thương tâm sắc,",行宮見月傷心色，
Dạ vũ văn linh trường đoạn thanh.,夜雨聞鈴腸斷聲。
"Thiên tuyền địa chuyển hồi long ngự,",天旋地轉迴龍馭，
Đáo thử trù trừ bất năng khứ.,到此躊躇不能去。
"Mã Ngôi pha hạ nê thổ trung,",馬嵬坡下泥土中，
Bất kiến ngọc nhan không tử xứ.,不見玉顏空死處。
"Quân thần tương cố tận triêm y,",君臣相顧盡霑衣，
Đông vọng đô môn tín mã quy.,東望都門信馬歸。
"Quy lai trì uyển giai y cựu,",歸來池苑皆依舊，
"Thái Dịch phù dung, Vị Ương liễu;",太液芙蓉未央柳。
"Phù dung như diện liễu như mi,",芙蓉如面柳如眉，
Đối thử như hà bất lệ thuỳ.,對此如何不淚垂。
"Xuân phong đào lý hoa khai nhật,",春風桃李花開日，
Thu vũ ngô đồng diệp lạc thì.,秋雨梧桐葉落時。
"Tây Cung, Nam Nội đa thu thảo,",西宮南內多秋草，
Lạc diệp mãn giai hồng bất tảo.,落葉滿階紅不掃。
"Lê Viên tử đệ bạch phát tân,",梨園子弟白髮新，
Tiêu phòng a giám thanh nga lão.,椒房阿監青娥老。
"Tịch điện huỳnh phi tứ tiễu nhiên,",夕殿螢飛思悄然，
Cô đăng khiêu tận vị thành miên.,孤燈挑盡未成眠。
"Trì trì chung cổ sơ trường dạ,",遲遲鐘鼓初長夜，
Cảnh cảnh tinh hà dục thự thiên.,耿耿星河欲曙天。
"Uyên ương ngoã lãnh sương hoa trọng,",鴛鴦瓦冷霜華重，
Phỉ thuý khâm hàn thuỳ dữ cộng.,翡翠衾寒誰與共。
"Du du sinh tử biệt kinh niên,",悠悠生死別經年，
Hồn phách bất tằng lai nhập mộng.,魂魄不曾來入夢。
"Lâm Cùng đạo sĩ Hồng Đô khách,",臨邛道士鴻都客，
Năng dĩ tinh thành trí hồn phách.,能以精誠致魂魄。
"Vị cảm quân vương triển chuyển tư,",為感君王輾轉思，
Toại giao phương sĩ ân cần mịch.,遂教方士殷勤覓。
"Bài không ngự khí bôn như điện,",排空馭氣奔如電，
Thăng thiên nhập địa cầu chi biến.,升天入地求之遍。
"Thượng cùng bích lạc, hạ hoàng tuyền,",上窮碧落下黃泉，
Lưỡng xứ mang mang giai bất kiến.,兩處茫茫皆不見。
"Hốt văn hải thượng hữu tiên sơn,",忽聞海上有仙山，
Sơn tại hư vô phiếu diểu gian.,山在虛無縹緲間。
"Lâu các linh lung ngũ vân khởi,",樓閣玲瓏五雲起，
Kỳ trung xước ước đa tiên tử.,其中綽約多仙子。
"Trung hữu nhất nhân tự Thái Chân,",中有一人字太真，
Tuyết phu hoa mạo sâm si thị.,雪膚花貌參差是。
"Kim khuyết tây sương khấu ngọc quynh,",金闕西廂叩玉扃，
"Chuyển giao Tiểu Ngọc, báo Song Thành.",轉教小玉報雙成。
"Văn đạo Hán gia thiên tử sứ,",聞道漢家天子使，
Cửu hoa trướng lý mộng hồn kinh.,九華帳裡夢魂驚。
"Lãm y thôi chẩm khởi bồi hồi,",攬衣推枕起徘徊，
Châu bạc ngân bình di lệ khai.,珠箔銀屏迤邐開。
"Vân mấn bán thiên tân thuỵ giác,",雲鬢半偏新睡覺，
Hoa quan bất chỉnh há đường lai.,花冠不整下堂來。
