vi,ch
"Hoàng hoa mãn địa,",黃花滿地，
Bạch liễu hoành pha.,白柳橫坡。
"Tiểu kiều thông Nhược Gia chi khê,",小橋通若耶之溪，
Khúc kính tiếp Thiên Thai chi lộ.,曲徑接天台之路。
"Thạch trung thanh lưu trích trích, ly lạc phiêu hương;",石中清流滴滴，籬落飄香；
"Thụ đầu hồng diệp phiên phiên, sơ lâm như hoạ.",樹頭紅葉翩翩，疏林如畫。
"Tây phong xạ khẩn, do thính oanh đề;",西風乍緊，猶聽鶯啼；
"Noãn nhật thường huyên, hựu thiêm cung ngữ.",暖日常暄，又添蛩語。
"Dao vọng đông nam, kiến kỷ xứ y sơn chi tạ;",遙望東南，建幾處依山之榭；
"Cận quan tây bắc, kết tam gian lâm thuỷ chi hiên.",近觀西北，結三間臨水之軒。
"Sinh hoàng doanh toạ, biệt hữu u tình;",笙簧盈座，別有幽情；
"La ỷ xuyên lâm, bội thiêm vận trí.",羅綺穿林，倍添韻致。
