vi,ch
"Xương Môn nữ nhi trang kế khinh,",閶門女兒糚髻輕，
Thập tam thập tứ học ngân tranh.,十三十四學銀箏。
"Hành nhân bất giải ti trung ngữ,",行人不解絲中語，
Đô đạo Dương Quan tống biệt thanh.,都道陽關送別聲。
"Kim Lăng vọng trung sơn mạt yên,",金陵望中山抹煙，
Thiết Úng thành đầu lãng phách thiên.,鐵甕城頭浪拍天。
"Cư nhân tận thuyết phong ba ác,",居人盡說風波惡，
Giang khẩu hà thời bất phóng thuyền.,江口何時不放船。
"Nhật lạc Từ hà thuỷ loạn lưu,",日落徐河水亂流，
Cao thành truỳ thác lậu thanh sầu.,高城椎柝漏聲愁。
"Tương phùng dục giải san hô quyết,",相逢欲解珊瑚玦，
Bất kiến hồ cơ cựu tửu lâu.,不見胡姬舊酒樓。
"Tế hà bắc lưu phục nam lưu,",濟河北流復南流，
Hành đáo Thiên Tân nam bắc sầu.,行到天津南北愁。
"Nhân sinh thuận nghịch tuy hữu phận,",人生順逆雖有分，
Nại khả thử thân cư thượng du.,耐可此身居上游。
