vi,ch
"Thương thương mang mang giang thượng diện,",蒼蒼茫茫江上面，
"Vũ nhập giang quang xuy bất kiến,",雨入江光吹不見，
Tiền than hậu than bạch như luyện.,前灘後灘白如練。
"Hữu Phong khoảnh khắc Thất Lý qua,",有風頃刻七里過，
Vô Phong nại thử Thất Lý hà.,無風奈此七里何！
"Hốt nhiên vũ thế hiệp phong chí,",忽然雨勢挾風至，
Đãn thính lai: Thuyền tranh xướng thuận phong ca.,但聽來船爭唱順風歌。
"Ngã thuyền cam nhượng lai thuyền tẩu,",我船甘讓來船走，
Hoạ bản lưu khan Hoàng Tử Cửu.,畫本留看黃子久。
"Vọng cùng hàn thuỷ trúc hồi hoàn,",望窮寒水竹回環，
Tẩy xuất thanh sơn lỗ tiền hậu.,洗出青山櫓前後。
"Mục đồng tự khu hoàng độc hồi,",牧童自驅黃犢回，
Ngư lang chính phóng lô ti lai.,漁郎正放鸕鷥來。
"Lạp thiềm thoa duệ tận lân xá,",笠檐蓑袂盡鄰舍，
Đối giang kỷ phiến sài môn khai.,對江幾扇柴門開。
"Đan thanh vị kiến kim kiến thử,",丹青未見今見此，
Thuỷ ngoại thị sơn sơn ngoại thuỷ.,水外是山山外水。
"Khách đáo tiên sầu vô lộ thông,",客到先愁無路通，
Hà huống mê ly yên vũ lý.,何況迷離煙雨里。
"Sơn đầu vũ tác sơn trung tuyền,",山頭雨作山中泉，
Uyển đình đô tại thụ diểu huyền.,蜿蜓都在樹杪悬。
"Đông phong nhất tả lạc thiên trượng,",東峰一泻落千丈，
Lôi đình nãi huỷ tây phong điên.,雷霆乃毀西峰顛。
"Thử thời ức sát Nghiêm tiên sinh,",此時憶殺嚴先生，
Dương cầu cô ủng hàn bất khinh.,羊裘孤擁寒不輕。
"Ngã dục tùng môn nhất bôi lỗi,",我欲松門一杯酹，
Đài hoang lộ hoạt vô nhân hành.,苔荒路滑無人行。
"Truyền văn danh lợi nhân,",傳聞名利人，
Bất bạc điếu đài hạ.,不泊釣臺下。
"Biển chu độc tung hoành,",扁舟獨縱橫，
Vấn ngã hà vi giả?,問我何為者？
"Ngọc hồ mãi xuân vũ kham thưởng,",玉壺買春雨堪賞，
Xích bán bạch ngư tân xuất võng.,尺半白魚新出網。
"Ấm hàm bão ủng ngoạ thuyền đầu,",飲酣抱瓮臥船頭，
Thính đắc chu nhân tề phách chưởng.,聽得舟人齊拍掌。
"Sổ chi nhu lỗ hoạch pha lê,",數枝柔櫓劃玻璃，
Bách bức bồ phàm nhãn để tề.,百幅蒲帆眼底齊。
"Tịch dương sạ minh phong diệc chuyển,",夕陽乍明風亦轉，
Hành hành nhất lộ hoạ mi đề.,行行一路畫眉啼。
