vi,ch
Khách hữu:,客有：
"Ẩn kỷ cao trai, hạ nhật chính ngọ.",隱几高齋，夏日正午。
"Lâm bích thuỷ chi thanh trì, vịnh phù dung chi Nhạc phủ.",臨碧水之清池，詠芙蓉之樂府。
Hốt hữu nhân yên:,忽有人焉：
"Dã kỳ phục, hoàng kỳ quan.",野其服，黃其冠。
"Huýnh xuất trần chi tiên cốt, lẫm tích cốc chi cù nhan.",迥出塵之仙骨，凜辟穀之臞顏。
"Vấn chi hà lai, viết tòng Hoa San.",問之何來，曰從華山。
"Nãi thụ chi kỷ, nãi sử chi toạ.",迺授之几，迺使之坐。
"Phá Đông Lăng chi qua, trãi Dao Trì chi quả,",破東陵之瓜，薦瑤池之果，
"Tái ngôn chi lang, tái tiếu chi tha.",載言之琅，載笑之瑳。
Ký nhi mục khách viết:,既而目客曰：
Tử phi ái liên chi quân tử gia!,子非愛蓮之君子耶！
"Ngã hữu dị chủng, tàng chi tụ gian.",我有異種，藏之袖間。
"Phi đào lý chi thô tục, phi mai trúc chi cô hàn.",非桃李之粗俗，非梅竹之孤寒。
"Phi tăng phòng chi cẩu kỷ, phi Lạc thổ chi mẫu đan.",非僧房之枸杞，非洛土之牡丹。
"Phi Đào lệnh đông ly chi cúc, phi Linh quân cửu uyển chi lan.",非陶令東籬之菊，非靈均九畹之蘭。
Nãi Thái Hoa san đầu ngọc tỉnh chi liên.,乃泰華山頭玉井之蓮。
Khách viết:,客曰：
"Dị tai! Khởi sở vị ngẫu như thuyền hề hoa thập trượng, lãnh như sương hề cam tỷ mật giả gia!",異哉!豈所謂藕如船兮花十丈，冷如霜兮甘比蜜者耶！
"Tích văn kỳ danh, kim đắc kỳ thực.",昔聞其名，今得其實。
"Đạo sĩ hân nhiên, nãi tụ trung xuất.",道士欣然，乃袖中出。
"Khách nhất kiến chi, tâm trung uất uất.",客一見之，心中鬱鬱。
"Nãi phất thập dạng chi tiên, thử ngũ sắc chi bút.",乃拂十樣之牋，泚五色之筆。
Dĩ nhi ca viết:,以而歌曰：
"Giá thuỷ tinh hề vi cung,",架水晶兮為宮，
Tạc lưu ly hề vi hộ.,鑿琉璃兮為戶。
"Toái pha ly hề vi nê,",碎玻璃兮為泥，
"Sái minh châu hề vi lộ,",洒明珠兮為露，
"Hương phức uất hề tằng tiêu,",香馥郁兮層霄，
Đế văn phong hề nữ mộ.,帝聞風兮女慕。
"Quế tử lãnh hề vô hương,",桂子冷兮無香，
Tố Nga phân hề nữ đố.,素娥紛兮女妒。
"Thái dao thảo hề Phương châu,",採瑤草兮芳州，
Vọng mỹ nhân hề Tương phố.,望美人兮湘浦。
"Kiển hà vi hề trung lưu,",蹇何為兮中流，
Hạp tương phản hề cố vũ.,盍將返兮故宇。
"Khởi hộ lạc hề vô dung,",豈護落兮無容，
Thán thiền quyên hề đa ngộ.,嘆嬋娟兮多誤。
"Cẩu dư bính chi bất a,",苟予柄之不阿，
Quả hà thương hề phong vũ.,果何傷兮風雨。
"Khủng phương hồng hề dao lạc,",恐芳紅兮搖落，
Mỹ nhân lai hề tuế mộ.,美人來兮歲暮。
Đạo sĩ văn nhi thán viết:,道士聞而嘆曰：
Tử hà vi ai thả oán dã.,子何為哀且怨也！
"Độc bất kiến Phượng Hoàng trì thượng chi tử vi, Bạch Ngọc đường tiền chi hồng dược!",讀不見鳳凰池上之紫薇，白玉堂前之紅藥！
"Quýnh địa vị chi thanh cao, ái thanh danh chi chiêu chước.",敻地位之清高，藹聲名之昭灼。
"Bỉ giai kiến quý ư thánh minh chi triều, tử độc hà chi hồ tao nhân chi quốc!",彼皆見貴於聖明之朝，子獨何之乎騷人之國！
"Ư thị hữu cảm kỳ ngôn, khởi kính khởi mộ.",於是有感其言，起敬起慕。
"Nga Thành Trai đình thượng chi thi, canh Xương Lê phong đầu chi cú.",哦誠齋亭上之詩，庚昌黎峰頭之句。
"Khiếu xương hạp dĩ phi tâm, kính hiến “Ngọc tỉnh liên” chi phú.",叫閶闔以披心，敬獻玉井蓮之賦。
