vi,ch
"Y tích đế đình,",伊昔帝庭，
Hữu thần Cửu Linh.,有臣九齡。
"Hoài đan bão tố,",懷丹抱素，
Hàm hoa thổ anh.,含華吐英。
Động đạt hồ trị loạn chi lý; cảm thông hồ hiến thế chi thành.,洞達乎治亂之理；感通乎獻替之誠。
Nãi toản thuật kỳ hưng phế; dụ quyết giám chi thậm minh.,乃纂述其興廢；喻厥鑑之甚明。
Ư thị:,於是：
Vận ứng thiên thu; thần đương lệnh tiết.,運應千秋；辰當令節。
Y dư hưu tai; kỳ ý nhược viết:,猗歟休哉；其意若曰：
"Linh phinh quy hạc, khởi túc vi chúc thánh chi phù; đản mạn thần tiên, hồ khả ngữ trường sinh chi quyết.",竛竮龜鶴，豈足為祝聖之符；誕謾神仙，胡可語長生之訣。
Thị giám dã:,是鑑也：
Chí tinh chí minh; ký dung ký triệt.,至精至明；既融既徹。
Đạo đức quảng hồ quy mô; lễ nghĩa kiên hồ kim thiết.,道德廣乎規模；禮義堅乎金鐵。
Lẫm kỳ khí hề băng sương; bính kỳ văn hề nhật nguyệt.,凜其氣兮冰霜；炳其文兮日月。
Chiếu chi hôn giả khả sử minh; ma chi ngu giả khả sử triết.,照之昏者可使明；磨之愚者可使哲。
Nhân tái tả dĩ tái trình; dụng viên minh nhi viên khiết.,因載寫以載呈；用爰明而爰潔。
Phi độc quy mỹ ư ngô quân; nhi khả dĩ vi vạn thế chi quỹ triệt.,非獨歸美於吾君；而可以為萬世之軌轍。
Đãi phù:,迨夫：
Kim môn ký tịch; ngọc lậu sơ tàn.,金門既闢；玉漏初殘。
Tương nguỵ hội thê hàng chi vạn quốc; long trì la kiếm bội chi thiên quan.,象魏會梯杭之萬國；龍墀羅劍佩之千官。
Hải vũ khánh hồng lưu chi thuỵ; tung hô đằng điện nhiễu chi hoan.,海宇慶虹流之瑞；嵩呼騰電繞之驩。
Cửu Linh nãi:,九齡乃：
Nga quan bệ trắc; tấn hốt yêu gian,峨冠陛側；搢笏腰間。
Dung nghi nghiêm túc; bộ vũ thư nhàn.,容儀嚴肅；步武舒閒。
Gián quần thần ư triều liệt; hồi nhất cố ư uy nhan.,間群臣於朝列；回一顧於威顏。
"Ký suy thành nhi hiến giám; phục khể thủ nhi phi can,",既推誠而獻鑑；復稽首而披肝。
Thần ngôn minh hồ tự giám; thần tâm hách hề nhược đan.,臣言明乎似鑑；臣心赫兮若丹。
Chúng chính ư thị hồ chí thư nhi khí khoát; quần tà ư thị hồ đảm lạc nhi mao hàn.,眾正於是乎志舒而氣豁；群邪於是乎膽落而毛寒。
Cố năng:,故能：
"Truy tung Bính, Hàn; tịnh mỹ Diêu, Tống.",追蹤丙韓；並美姚宋。
Chiếu phát Phủ chi gian tà; động kiến Lộc chi tình trạng dã.,照發甫之奸邪；洞見祿之情狀也。
Nhiên thường quái:,然常怪：
"Thái Tông hữu Nguỵ Trưng nhi vi giám dã, hồ vi bất năng trí Trinh Quán tam thập niên chi thái bình; Minh Hoàng diệc hữu Cửu Linh vi giám dã, hồ vi bất cứu Thiên Bảo mạt niên chi điên chí.",太宗有魏徵而為鑑也，胡為不能致貞觀三十年之太平；明皇亦有九齡為鑑也，乎為不救天寶末年之顛躓。
Cố sở dụng chi như hà; thiết hữu cảm ư Lý Đường chi sự.,顧所用之如何；竊有感於李唐之事。
Phương kim:,方今：
Tường khai thuỵ đán; khánh diệp xương kỳ.,祥開瑞旦；慶葉昌期。
Vạn niên ức niên tỷ thọ; nhất nhật nhị nhật duy ky.,萬年億年俾壽；一日二日惟幾。
"Giám ư tiên vương, tắc hữu tổ tông chi thành hiến; giám ư vãng sự tắc hữu kỳ ngải chi quang huy.",鑑於先王則有祖宗之成憲；鑑於往事則有耆艾之光輝。
"Dĩ trị loạn vi giám giả, thục mỹ thục ác; dĩ đắc thất vi giám giả thục nghiên thục si.",以治亂為鑑者，孰美孰惡；以得失為鑑者，孰妍孰媸。
"Thử ngu thần sở dĩ khể thủ hiến Thiên thu giám giả, kỳ thiên tử kỳ giám vu tư.",此愚臣所以稽首獻千秋鑑者，期天子其鑑于茲。
