vi,ch
"Tây Lương kỹ, Tây Lương kỹ,",西涼伎，西涼伎，
"Giả diện Hồ nhân, giả sư tử.",假面胡人假獅子。
"Khắc mộc vi đầu ty tác vĩ,",刻木為頭絲作尾，
Kim độ nhãn tình ngân thiếp xỉ.,金鍍眼睛銀貼齒。
"Phấn tấn mao y bài song nhĩ,",奮迅毛衣擺雙耳，
Như tòng lưu sa lai vạn lý.,如從流沙來萬里。
"Tử nhiêm thâm mục lưỡng Hồ nhi,",紫髯深目兩胡兒，
Cổ vũ khiêu lương tiền trí từ.,鼓舞跳粱前致辭。
"Đạo thị Lương Châu vị hãm nhật,",道是涼州未陷日，
An tây đô hộ tiến lai thì.,安西都護進來時。
"Tu du vân đắc tân tiêu tức,",須臾雲得新消息，
An tây lộ tuyệt quy bất đắc.,安西路絕歸不得。
"Khấp hướng sư tử thế song thuỳ,",泣向獅子涕雙垂，
Lương Châu hãm một tri bất tri?,涼州陷沒知不知？
"Sư tử hồi đầu hướng tây vọng,",獅子回頭向西望，
Ai hống nhất thanh quan giả bi.,哀吼一聲觀者悲。
"Trinh Nguyên biên tướng ái thử khúc,",貞元邊將愛此曲，
Tuý toạ tiếu khán khán bất túc.,醉坐笑看看不足。
"Hưởng tân khao sĩ yến tam quân,",享賓犒士宴三軍，
Sư tử Hồ nhi trường tại mục.,獅子胡兒長在目。
"Hữu nhất chinh phu niên thất thập,",有一征夫年七十，
Kiến lộng Lương Châu đê diện khấp.,見弄涼州低面泣。
"Khấp bãi liễm thủ bạch tướng quân,",泣罷斂手白將軍，
Chủ ưu thần nhục tích sở văn.,主憂臣辱昔所聞。
"Tự tòng Thiên Bảo binh qua khởi,",自從天寶兵戈起，
Khuyển Nhung nhật dạ thôn Tây Bỉ.,犬戎日夜吞西鄙。
"Lương Châu hãm lai tứ thập niên,",涼州陷來四十年，
Hà Lũng xâm tương thất thiên lý.,河隴侵將七千里。
"Bình thì An Tây vạn lý cương,",平時安西萬里疆，
Kim nhật biên phòng tại Phượng Tường.,今日邊防在鳳翔。
"Duyên biên không truân thập vạn tốt,",緣邊空屯十萬卒，
Bão thực ôn y nhàn quá nhật.,飽食溫衣閑過日。
"Di dân trường đoạn tại Lương Châu,",遺民腸斷在涼州，
Tướng tốt tương khan vô ý thu.,將卒相看無意收。
"Thiên tử mỗi tư trường thống tích,",天子每思長痛惜，
Tướng quân dục thuyết hợp tàm tu.,將軍欲說合慚羞。
"Nại hà nhưng khan Tây Lương kỹ,",奈何仍看西涼伎，
Thủ tiếu tư hoan vô sở quý,取笑資歡無所愧
"Túng vô trí lực vị năng thu,",縱無智力未能收，
Nhẫn thủ Tây Lương lộng vi hí?,忍取西涼弄為戲？
