vi,ch
"Ngã gia Giang thuỷ sơ phát nguyên,",我家江水初發源，
Hoạn du trực tống Giang nhập hải.,宦遊直送江入海。
"Văn đạo triều đầu nhất trượng cao,",聞道潮頭一丈高，
Thiên hàn thượng hữu sa trần tại.,天寒尚有沙塵在。
"Trung Linh nam bạn thạch bàn đà,",中泠南畔石盤陀，
Cổ lai xuất một tuỳ đào ba.,古來出沒隨濤波。
"Thí đăng tuyệt đỉnh vọng hương quốc,",試登絕頂望鄉國，
Giang nam Giang bắc thanh sơn đa.,江南江北青山多。
"Ky sầu uý vãn tầm quy tiếp,",羈愁畏晚尋歸楫，
Sơn tăng khổ lưu khan lạc nhật.,山僧苦留看落日。
"Vi phong vạn khoảnh ngoa văn tế,",微風萬頃靴文細，
Đoạn hà bán không ngư vĩ xích.,斷霞半空魚尾赤。
"Thị thì Giang nguyệt sơ sinh phách,",是時江月初生魄，
Nhị canh nguyệt lạc thiên thâm hắc.,二更月落天深黑。
"Giang tâm tự hữu cự hoả minh,",江心似有炬火明，
Phi diễm chiếu sơn thê điểu kinh.,飛燄照山棲鳥驚。
"Trướng nhiên quy ngoạ tâm mạc thức,",悵然歸臥心莫識，
Phi quỷ phi nhân cánh hà vật.,非鬼非人竟何物。
"Giang sơn như thử bất quy sơn,",江山如此不歸山，
Giang thần kiến quái cảnh ngã ngoan.,江神見怪警我頑。
"Ngã tạ Giang thần khởi đắc dĩ,",我謝江神豈得已，
Hữu điền bất quy như Giang thuỷ.,有田不歸如江水。
