vi,ch
"Ngọc Tuyền chi nam Lộc Sơn thù,",玉泉之南麓山殊，
Đạo Lâm lâm hác tranh bàn hu.,道林林壑爭盤紆。
"Tự môn cao khai Động Đình dã,",寺門高開洞庭野，
Điện cước sáp nhập Xích Sa hồ.,殿腳插入赤沙湖。
"Ngũ nguyệt hàn phong lãnh Phật cốt,",五月寒風冷佛骨，
Lục thì thiên nhạc triều hương lô.,六時天樂朝香爐。
"Địa linh bộ bộ Tuyết sơn thảo,",地靈步步雪山草，
Tăng bảo nhân nhân thương hải châu.,僧寶人人滄海珠。
"Tháp kiếp cung tường tráng lệ địch,",塔劫宮牆壯麗敵，
Hương trù tùng đạo thanh lương câu.,香廚松道清涼俱。
"Liên hoa giao hưởng cộng mệnh điểu,",蓮花交響共命鳥，
Kim bảng song hồi tam túc ô.,金牓雙迴三足烏。
"Phương trượng thiệp hải phí thì tiết,",方丈涉海費時節，
Huyền Phố tầm hà tri hữu vô.,懸圃尋河知有無。
"Mộ niên thả hỉ kinh hành cận,",暮年且喜經行近，
Xuân nhật kiêm mông huyên noãn phù.,春日兼蒙暄暖扶。
"Phiêu nhiên ban bạch thân hề thích,",飄然斑白身奚適，
Bàng thử yên hà mao khả tru.,傍此煙霞茅可誅。
"Đào Nguyên nhân gia dị chế độ,",桃源人家易制度，
Quất Châu điền thổ nhưng cao du.,橘洲田土仍膏腴。
"Đàm phủ ấp trung thậm thuần cổ,",潭府邑中甚淳古，
Thái thú đình nội bất huyên hô.,太守庭內不喧呼。
"Tích tao suy thế giai hối tích,",昔遭衰世皆晦跡，
Kim hạnh lạc quốc dưỡng vi khu.,今幸樂國養微軀。
"Y chỉ lão túc diệc vị vãn,",依止老宿亦未晚，
Phú quý công danh yên túc đồ.,富貴功名焉足圖。
"Cửu vi dã khách tầm u quán,",久為野客尋幽慣，
Tế học Hà Ngung miễn hứng cô.,細學何顒免興孤。
"Nhất trùng nhất yểm ngô phế phủ,",一重一掩吾肺腑，
Sơn điểu sơn hoa ngô hữu vu.,山鳥山花吾友于。
"Tống công phóng trục tằng đề bích,",宋公放逐曾題壁，
Vật sắc phân lưu dữ lão phu.,物色分留與老夫。
