vi,ch
"Vũ tuyết bất chỉ nê lộ vu,",雨雪不止泥路迂，
Mã đảo phục địa nhân hạ vô.,馬倒伏地人下無。
"Cư giả bất xuất hành giả chỉ,",居者不出行者止，
Ngọ thị bất hợp nhập không cù.,午市不合入空衢。
"Đạo trung độc hành nãi thuỳ tử,",道中獨行乃誰子，
Ngã giả phụ tịch duyên môn hô:,餓者負席緣門呼：
"""Cao đường thực ẩm khởi vô khí,",「高堂食飲豈無棄，
"Nguyện tòng khuyển trệ cầu kỳ dư.""",願從犬彘求其餘。」
"Nhĩ văn môn khai thân tựu bái,",耳聞門開身就拜，
Bái phục bất khởi hô quần nô.,拜伏不起呼群奴。
"Hầu can vô thanh khốc vô lệ,",喉乾無聲哭無淚，
Dẫn trượng khứ thử tha hà như.,引杖去此他何如。
"Lộ bàng thiếu niên vô sở ngữ,",路傍少年無所語，
Quy thị chỉ thượng hoàn trường hu.,歸視紙上還長吁。
