vi,ch
"Đăng cao lâu, vọng minh nguyệt,",登高樓，望明月，
Minh nguyệt thu lai kỷ viên khuyết.,明月秋來幾圓缺。
"Đa tình chỉ chiếu ỷ la diên,",多情只照綺羅筵，
Mạc chiếu thiên nhai viễn hành khách.,莫照天涯遠行客。
"Thiên nhai hành khách ly gia cửu,",天涯行客離家久，
Kiến nguyệt tư hương tao bạch thủ.,見月思鄉搔白首。
"Niên niên trường tự tống hành nhân,",年年長自送行人，
Chiết tận biên thành lộ bàng liễu.,折盡邊城路旁柳。
"Đông vọng Tần Xuyên nhất nhạn phi,",東望秦川一雁飛，
Khả lân đồng trú bất đồng quy.,可憐同住不同歸。
"Thân lưu tái bắc không đàn giáp,",身留塞北空彈鋏，
Mộng nhiễu Giang Nam vị phất y.,夢繞江南未拂衣。
"Quân quy phục hỷ đăng đài các,",君歸復喜登臺閣，
Phong tài lăng lăng thượng như tạc.,風裁棱棱尚如昨。
"Đãn linh tứ hải ca thăng bình,",但令四海歌昇平，
Ngã tại Cam Châu bần diệc lạc.,我在甘州貧亦樂。
"Cam Châu thành tây Hắc thuỷ lưu,",甘州城西黑水流，
Cam Châu thành bắc Hồ vân sầu.,甘州城北胡雲愁。
"Ngọc Quan nhân lão điêu cừu tệ,",玉關人老貂裘敝，
Khổ ức bình sinh Mã Thiếu Du.,苦憶平生馬少遊。
