vi,ch
"Ức tích thanh minh giai tiết thì,",憶昔清明佳節時，
Dữ quân giải cấu thành tương tri.,與君邂逅成相知。
"Trào phong lộng nguyệt thông lai vãng,",嘲風弄月通來往，
Bát động phong tình vô hạn tư.,撥動風情無限思。
"Hầu môn duệ đoạn thiên kim tác,",侯門曳斷千金索，
Huề thủ ai kiên du hoạ các.,攜手挨肩遊畫閣。
"Hảo bả thanh ty kết tử sinh,",好把青絲結死生，
Minh sơn thệ hải tình bất bạc.,盟山誓海情不薄。
"Bạch vân diểu diểu thảo thanh thanh,",白雲渺渺草青青，
Tài tử tư thân dục biệt tình.,才子思親欲別情。
"Đốn giác đào kiểm vô xuân sắc,",頓覺桃臉無春色，
Sầu thính truyền thư nhạn kỷ thanh.,愁聽傳書雁幾聲。
"Quân hành tuy bất bài loan ngự,",君行雖不排鸞馭，
Thắng tự chinh man phụ huynh khứ.,勝似征蠻父兄去。
"Bi bi thiết thiết đoạn trường thanh,",悲悲切切斷腸聲，
Chấp thủ khiên y lý tiền thệ.,執手牽衣理前誓。
"Dữ quân thành tựu loan phượng hữu,",與君成就鸞鳳友，
Thiết mạc Tô thành luyến hoa liễu.,切莫蘇城戀花柳。
"Tự quân chi khứ thiếp toàn my,",自君之去妾攢眉，
Chi phấn thung điều phát như trửu.,脂粉慵調發如帚。
"Nhân duyên lưỡng địa tương tư trọng,",姻緣兩地相思重，
Tuyết nguyệt phong hoa thuỳ dữ cộng.,雪月風花誰與共？
"Khả liên phu phụ chính đương niên,",可憐夫婦正當年，
Không sử mai hoa hồ điệp mộng.,空使梅花蝴蝶夢。
"Lâm phong đối nguyệt vô hoan hảo,",臨風對月無歡好，
Thê lương chẩm thượng hồn điên đảo.,淒涼枕上魂顛倒。
"Nhất tiêu hốt mộng nhữ thú thân,",一宵忽夢汝娶親，
Lai triêu bất giác sầu nhan lão.,來朝不覺愁顏老。
"Minh ngôn nguyện tác thần lôi điện,",盟言願作神雷電，
Cửu thiên huyền nữ tương truyền biến.,九天玄女相傳遍。
"Chỉ quy cố lý vị quy tuyền,",只歸故里未歸泉，
Hà cố âm dung nan đắc kiến.,何故音容難得見？
"Tài lang ý giả thiếp ý chân,",才郎意假妾意真，
Tái trì dịch sử trần đan tâm.,再馳驛使陳丹心。
"Khả liên tam thất tu hoa mạo,",可憐三七羞花貌，
Tịch mịch hương khuê lý bất câm.,寂寞香閨裡不禁。
