vi,ch
"Thập lý nhất trí phi trần hôi,",十里一置飛塵灰，
Ngũ lý nhất hậu binh hoả thôi.,五里一堠兵火催。
"Điên khanh phó cốc tương chẩm tạ,",顛坑仆谷相枕藉，
Tri thị lệ chi long nhãn lai.,知是荔枝龍眼來。
"Phi xa khoá sơn cốt kỳ hải,",飛車跨山鶻棋海，
Phong chi lộ nghiệp như tân thái.,風枝露業如新採。
"Cung trung mỹ nhân nhất phá nhan,",宮中美人一破顏，
Kinh trần tiễn huyết lưu thiên tải.,驚塵濺血流千載。
"Vĩnh Nguyên lệ chi lai Giao Châu,",永元荔枝來交州，
Thiên Bảo tuế cống thủ chi Phù.,天寶歲貢取之涪。
"Chí kim dục thực Lâm Phủ nhục,",至今欲姇林甫肉，
Vô nhân cử trường lỗi Bá Du.,無人舉觴酹伯遊。
"Ngã nguyện thiên công liên xích tử,",我願天公憐赤子，
Mạc sinh vưu vật vi sang vị.,莫生尤物為瘡痏。
"Vũ thuận phong điều bách cốc đăng,",雨順風調百穀登，
Dân bất cơ hàn vi thượng thuỵ.,民不饑寒為上瑞。
Quân bất kiến:,君不見：
"Vũ Di khê biên túc lạp nha,",武夷溪邊粟粒芽，
Tiền Đinh hậu Sái tương lung gia.,前丁後蔡相籠加。
"Tranh tân mãi sủng xuất tân ý,",爭新買寵出新意，
Kim niên đấu phẩm sung quan trà.,今年鬥品充官茶。
Ngô quân sở phạp khởi thử vật?,吾君所乏豈此物？
Trí dưỡng khẩu thể hà lậu da!,致養口體何陋耶！
"Lạc Dương tướng quân trung hiếu gia,",洛陽相君忠孝家，
Khả liên diệc tiến diêu hoàng hoa.,可憐亦進姚黃花。
