vi,ch
"Đông giao sấu mã sử ngã thương,",東郊瘦馬使我傷，
"Cốt cách lột ngột như đổ tường,",骨骼硉兀如堵牆。
"Bạn chi dục động chuyển y trắc,",絆之欲動轉欹側，
Thử khởi hữu ý nhưng đằng tương.,此豈有意仍騰驤。
"Tế khan lục ấn đới quan tự,",細看六印帶官字，
Chúng đạo tam quân di lộ bàng.,眾道三軍遺路旁。
"Bì can bác lạc tạp nê chỉ,",皮幹剝落雜泥滓，
Mao ám tiêu điều liên tuyết sương.,毛暗蕭條連雪霜。
"Khứ tuế bôn ba trục dư khấu,",去歲奔波逐餘寇，
Hoa lưu bất quán bất đắc tương.,驊騮不慣不得將。
"Sĩ tốt đa kỵ nội cứu mã,",士卒多騎內廄馬，
Trù trướng khủng thị bệnh thừa hoàng.,惆悵恐是病乘黃。
"Đương thời lịch khối ngộ nhất quyết,",當時曆塊誤一蹶，
Uỷ khí phi nhữ năng chu phòng.,委棄非汝能周防。
"Kiến nhân thảm đạm nhược ai tố,",見人慘澹若哀訴，
Thất chủ thố mạc vô tinh quang.,失主錯莫無晶光。
"Thiên hàn viễn phóng nhạn vi bạn,",天寒遠放雁為伴，
Nhật mộ bất thu ô trác sang.,日暮不收烏啄瘡。
"Thuỳ gia thả dưỡng nguyện chung huệ,",誰家且養願終惠，
Cánh thí minh niên xuân thảo trường.,更試明年春草長。
