vi,ch
Quân bất kiến:,君不見：
"Lý hữu ly phụ sầu độc túc,",里有嫠父愁獨宿，
Doanh thực mưu y nhật bất túc.,營食謀衣日不足。
"Lân ảo kiến chi liên cơ hàn,",鄰媼見之憐饑寒，
Thất gia mưu dữ thiếu niên tục.,室家謀與少年續。
"Thiếu niên cường tráng thị dục quảng,",少年強壯嗜欲廣，
Ly phụ bì bệnh cân lực suy.,嫠婦疲病筋力衰。
"Cung cấp sử linh bất tương ứng,",供給使令不相應，
Túng nhiên kiến hợp chung tất ly.,縱然見合終必離。
"Tái tiếu bản vị cơ hàn mưu,",再醮本為饑寒謀，
Bất miễn cơ hàn thị khả sỉ.,不免饑寒是可恥。
"Huống phục bất văn phụ mẫu ngôn,",況復不聞父母言，
Tư bôn cánh vi lân lý bỉ.,私奔更為鄰里鄙。
Ta ta lân ảo hà ái ly?,嗟嗟鄰媼何愛嫠？
"Ái chi tắc thị, mưu tắc phi.",愛之則是謀則非。
"Cơ hàn chỉ ưng túc bố cấp,",饑寒只應粟布給，
Lão đại tái tiếu phi sở nghi.,老大再醮非所宜。
