vi,ch
"Hành, Nhạc, Thái Hàng thiên hạ sơn,",衡岳太行天下山，
"Hoàng Hà, Giang, Hán thiên hạ thuỷ.",黃河江漢天下水。
"Thuỳ khiển tam xích thằng sàng gian,",誰遣三尺繩床間，
Điệp điệp trùng trùng kiến lưu trĩ.,疊疊重重見流峙。
"Thử trung vô số thánh hiền hào,",此中無數聖賢豪，
Dữ ngã lai vãng tận tri kỷ.,與我來往盡知己。
"Bệnh trung hốt toạ, toạ hốt khỉ,",病中忽坐坐忽起，
"Hạp ngô lưỡng mục, bế ngô nhĩ.",闔吾兩目閉吾耳。
"Trừng thần địch lự mặc dĩ du,",澄神滌慮默以遊，
"Nhược thân ngô lịch, túc ngô lý.",若身吾歷足吾履。
Khởi dư giả thuỳ? Bùi sứ quân!,起余者誰？裴使君！
Cước để giang sơn vạn dư lý.,腳底江山萬餘里。
"Quy lai mãn phúc trữ đồ thư,",歸來滿腹貯圖書，
Đốt đốt nam nhi chân khoái sự!,咄咄男兒真快事。
"Ta ngã bế hộ điêu trùng, xỉ khẩu giảo văn tự.",嗟我閉戶雕虫侈口咬文字。
"Hữu như xích hoạch lượng thiên địa,",有如尺蠖量天地，
Tự tòng phiếm hải lịch Ba Sơn.,自從泛海歷巴山。
Thuỷ giác lục hợp hà mang mang!,始覺六合何茫茫，
Hướng tích văn chương đẳng nhi hí!,向昔文章等兒戲。
"Thế gian thuỳ thị chân nam tử,",世間誰是真男子，
Uổng cá bình sinh độc thư sử.,枉箇平生讀書史。
"Yên Đài sứ giả lão thế đồ,",燕臺使者老世途，
Thượng học anh ngôn dục hà sĩ?,尚學嬰言欲何俟。
Quân bất kiến:,君不見：
"Cao ngoạ thất trung quyện du sĩ,",高臥室中倦遊士，
Tứ bích danh sơn lạn như ỷ.,四壁名山爛如綺。
"Cầm, Hướng cao tung mạc bất phan,",禽向高蹤邈不扳，
Nhất danh cơ bạn trường như thử!,一名羈絆長如此。
Ô hô!,嗚呼：
"Nhất danh cơ bạn trường như thử,",一名羈絆長如此，
"Bạch phát, thanh bào, ngô lão hĩ!",白髮青袍吾老矣。
