vi,ch
"Tái sam tái tạc,",載芟載柞，
Kỳ canh thích thích.,其耕澤澤。
"Thiên ngẫu kỳ vân,",千耦其耘，
Tồ thấp tồ chẩn.,徂隰徂畛。
"Hầu chủ hầu bá,",侯主侯伯，
"Hầu á hầu lữ,",侯亞侯旅，
Hầu cường hầu dĩ.,侯彊侯以。
"Hữu thám kỳ diệp,",有嗿其饁，
"Tư mị kỳ phụ,",思媚其婦，
Hữu y kỳ sĩ.,有依其士。
"Hữu lược kỳ tỷ,",有略其耜，
"Thục tái nam mẫu,",俶載南畝，
Bá quyết bách cốc.,播厥百穀。
"Thực hàm tư hoạt,",實函斯活，
Dịch dịch kỳ đạt.,驛驛其達。
"Hữu yếm kỳ kiệt,",有厭其傑，
"Yếm yếm kỳ miêu,",厭厭其苗，
Miên miên kỳ tiêu.,綿綿其麃。
"Tái hoạch tế tế,",載穫濟濟，
"Hữu thực kỳ tích,",有實其積，
Vạn ức cập tỷ.,萬億及秭。
"Vi tửu vi lễ,",為酒為醴，
"Chưng tí tổ tỉ,",烝畀祖妣，
Bất hợp bách lễ.,不洽百禮。
Hữu tất kỳ hương.,有飶其香。
Bang gia chi quang.,邦家之光。
"Hữu tiêu kỳ hinh,",有椒其馨，
Hồ khảo chi ninh.,胡考之寧。
"Phỉ thả hữu thư,",匪且有且，
"Phỉ kim tư kim,",匪今斯今，
Chấn cổ như tư.,振古如茲。
