vi,ch
"Quân bất văn Hồ già thanh tối bi,",君不聞胡笳聲最悲，
Tử nhiêm lục nhãn Hồ nhân xuy.,紫髯綠眼胡人吹。
"Xuy chi nhất khúc do vị liễu,",吹之一曲猶未了，
Sầu sát Lâu Lan chinh thú nhi.,愁殺樓蘭征戍兒。
"Lương thu bát nguyệt Tiêu quan đạo,",涼秋八月蕭關道，
Bắc phong xuy đoạn Thiên sơn thảo.,北風吹斷天山草。
"Côn Lôn sơn nam nguyệt dục tà,",昆侖山南月欲斜，
Hồ nhân hướng nguyệt xuy Hồ già.,胡人向月吹胡笳。
"Hồ già oán hề tương tống quân,",胡笳怨兮將送君，
Tần sơn dao vọng Lũng sơn vân.,秦山遙望隴山雲。
"Biên thành dạ dạ đa sầu mộng,",邊城夜夜多愁夢，
Hướng nguyệt Hồ già thuỳ hỷ văn.,向月胡笳誰喜聞。
