vi,ch
"Tự Hồ chi phản trì can qua,",自胡之反持干戈，
Thiên hạ học sĩ diệc bôn ba.,天下學士亦奔波。
"Thán bỉ u thê tái điển tịch,",歎彼幽棲載典籍，
Tiêu nhiên bộc lộ y sơn a.,蕭然暴露依山阿。
"Thanh sơn vạn lý tĩnh tán địa,",青山萬里靜散地，
Bạch vũ nhất tẩy không thuỳ la.,白雨一洗空垂蘿。
"Loạn đại phiêu linh dư đáo thử,",亂代飄零餘到此，
Cổ nhân thành bại tử như hà.,古人成敗子如何。
"Kinh Dương xuân đông dị phong thổ,",荊揚春冬異風土，
Vu Giáp nhật dạ đa vân vũ.,巫峽日夜多雲雨。
"Xích diệp phong lâm bách thiệt minh,",赤葉楓林百舌鳴，
Hoàng nê dã ngạn thiên kê vũ.,黃泥野岸天雞舞。
"Đạo tặc tung hoành thậm mật nhĩ,",盜賊縱橫甚密邇，
Hình thần tịch mịch cam tân khổ.,形神寂寞甘辛苦。
"Kỷ thì cao nghị bài kim môn,",幾時高議排金門，
Các sử thương sinh hữu hoàn đổ.,各使蒼生有環堵。
