vi,ch
"Xuân giang triều thuỷ liên hải bình,",春江潮水連海平，
Hải thượng minh nguyệt cộng triều sinh.,海上明月共潮生。
"Diễm diễm tuỳ ba thiên vạn lý,",灩灩隨波千萬里，
Hà xứ xuân giang vô nguyệt minh.,何處春江無月明。
"Giang lưu uyển chuyển nhiễu phương điện,",江流宛轉繞芳甸，
Nguyệt chiếu hoa lâm giai tự tán.,月照花林皆似霰。
"Không lý lưu sương bất giác phi,",空裏流霜不覺飛，
Đinh thượng bạch sa khan bất kiến.,汀上白沙看不見。
"Giang thiên nhất sắc vô tiêm trần,",江天一色無纖塵，
Hạo hạo không trung cô nguyệt luân.,皎皎空中孤月輪。
Giang bạn hà nhân sơ kiến nguyệt?,江畔何人初見月，
Giang nguyệt hà niên sơ chiếu nhân?,江月何年初照人。
"Nhân sinh đại đại vô cùng dĩ,",人生代代無窮已，
Giang nguyệt niên niên chỉ tương tự.,江月年年只相似。
"Bất tri giang nguyệt đãi hà nhân,",不知江月待何人，
Đãn kiến trường giang tống lưu thuỷ.,但見長江送流水。
"Bạch vân nhất phiến khứ du du,",白雲一片去悠悠，
Thanh phong phố thượng bất thăng sầu.,青楓浦上不勝愁。
"Thuỳ gia kim dạ thiên chu tử,",誰家今夜扁舟子，
Hà xứ tương tư minh nguyệt lâu?,何處相思明月樓。
"Khả liên lâu thượng nguyệt bồi hồi,",可憐樓上月徘徊，
Ưng chiếu ly nhân trang kính đài.,應照離人妝鏡臺。
"Ngọc hộ liêm trung quyển bất khứ,",玉戶帘中捲不去，
Đảo y châm thượng phất hoàn lai.,搗衣砧上拂還來。
"Thử thời tương vọng bất tương văn,",此時相望不相聞，
Nguyện trục nguyệt hoa lưu chiếu quân.,願逐月華流照君。
"Hồng nhạn trường phi quang bất độ,",鴻雁長飛光不度，
Ngư long tiềm dược thuỷ thành văn.,魚龍潛躍水成文。
"Tạc dạ nhàn đàm mộng lạc hoa,",昨夜閒潭夢落花，
Khả liên xuân bán bất hoàn gia.,可憐春半不還家。
"Giang thuỷ lưu xuân khứ dục tận,",江水流春去欲盡，
Giang đàm lạc nguyệt phục tây tà.,江潭落月復西斜。
"Tà nguyệt trầm trầm tàng hải vụ,",斜月沉沉藏海霧，
"Kiệt Thạch, Tiêu Tương vô hạn lộ.",碣石瀟湘無限路。
"Bất tri thừa nguyệt kỷ nhân quy,",不知乘月幾人歸，
Lạc nguyệt dao tình mãn giang thụ.,落月搖情滿江樹。
