vi,ch
"Hoạ mạc hàm xuân độ thanh xuy,",畫幕含春度清吹，
Cao thiêu giáng lạp kim bàn nị.,髙燒絳蠟金盤膩。
"Đồng long trích lộ dạ thanh trầm,",銅龍滴露夜聲沈，
Lão thố băng vân thu ảnh truỵ.,老兎崩雲秋影墜。
"Ngân tranh đoạn tục đàn tào ngữ,",銀筝斷續檀槽語，
Tử vụ mê mông tráo kim lũ.,紫霧迷濛罩金縷。
"Thiền sam lân đới uỷ la bình,",蟬衫麟帶委羅屏，
Chẩm hoa thấp thấu Vu phong vũ.,枕花濕透巫峰雨。
"Khiên ti hiểu tỉnh đề ô cấp,",牽絲曉井啼烏急，
Hàn tương điếu nguyệt hương lan khấp.,寒螿弔月香蘭泣。
"Hồng quang tiệm xạ lăng hoa đài,",紅光漸射菱花臺，
Hựu phất kiều nga tả xuân bích.,又拂嬌蛾寫春碧。
