vi,ch
"Ức tích bắc tầm tiểu hữu động,",憶昔北尋小有洞，
Hồng hà nộ đào quá khinh khả.,洪河怒濤過輕舸。
"Tân cần bất kiến Hoa Cái quân,",辛勤不見華蓋君，
Cấn sầm thanh huy thảm ma ma.,艮岑青輝慘麼麼。
"Thiên nhai vô nhân vạn hác tĩnh,",千崖無人萬壑靜，
Tam bộ hồi đầu ngũ bộ toạ.,三步回頭五步坐。
"Thu sơn nhãn lãnh hồn vị quy,",秋山眼冷魂未歸，
Tiên thưởng tâm vi lệ giao đoạ.,仙賞心違淚交墮。
"Đệ tử thuỳ y bạch mao thất,",弟子誰依白茅室，
Lư lão độc khởi thanh đồng toả.,盧老獨啟青銅鎖。
"Cân phất hương dư đảo dược trần,",巾拂香餘擣葯塵，
Giai trừ hôi tử thiêu đơn hoả.,階除灰死燒丹火。
"Huyền Phố, Thương Châu mãng không khoát,",懸圃滄洲莽空闊，
Kim tiết vũ y phiêu a na.,金節羽衣飄婀娜。
"Lạc nhật sơ hà siểm dư ánh,",落日初霞閃餘映，
Thúc hốt đông tây vô bất khả.,倏忽東西無不可。
"Tùng phong giản thuỷ thanh hợp thì,",松風澗水聲合時，
Thanh huỷ hoàng hùng đề hướng ngã.,青兕黃熊啼向我。
"Đồ nhiên tư ta phủ di tích,",徒然咨嗟撫遺蹟，
Chí kim mộng tưởng nhưng do tá.,至今夢想仍猶佐。
"Bí quyết ẩn văn tu nội giáo,",秘訣隱文須內教，
Vãn tuế hà công sứ nguyện quả.,晚歲何功使願果。
"Cánh thảo Hành Dương Đổng luyện sư,",更討衡陽董煉師，
Nam phù tảo cổ Tiêu Tương đà.,南浮早鼓瀟湘柁。
