vi,ch
"Sinh lai lãn tráng đa thành tích,",生來懶戇多成癖，
Nhập thế khiếp tương hình khí dịch.,入世怯將形氣役。
"Vân đình thuỷ chỉ bổn nhiên tâm,",雲停水止本然心，
Tài đắc phiến nhàn ngã hứng thích.,纔得片閒我興適。
"Vãn linh cánh giác cân lực khiên,",晚齡更覺筋力愆，
Tịnh kỷ minh song dưỡng tính thiên.,淨几明窗養性天。
"Đạo nhân cấu tựu Bảo Chân quán,",道人構就葆真觀，
"Đình hữu phương hoa, chiểu hữu liên.",庭有芳花沼有蓮。
"Thiều thiều cận bí lai kinh khuyết,",迢迢覲轡來京闕，
Hựu trị thiều xuân hoà hú tiết.,又值韶春和煦節。
"Triều đình thiểu sự, giản thư hi,",朝廷少事簡書稀，
Bất cấm du nhân tuý phong nguyệt.,不禁遊人醉風月。
"Tiêu tao khách quán cấm thành đông,",蕭騷客觀禁城東，
Cầm kiếm cô thê viên phố trung.,琴劍孤棲園圃中。
"Mao diêm tứ cố vân yên quýnh,",茅簷四顧雲煙迥，
Độc ỷ song lan đối thái không.,獨倚窗欄對太空。
"Triều tham dư hạ vô cơ nhũng,",朝參餘暇無機冗，
Trường yểm bồng phi trần bất động.,長掩蓬扉塵不動。
"Xuân quang bão nhãn sác đê châm,",春光飽眼數低斟，
Mãn giá đồ thư cung ngoạn tụng.,滿架圖書供玩誦。
"Nhiễu lư thảo thụ lục thành hề,",繞廬草樹綠成蹊，
Kiệp điệp phân phi điểu tước đề.,蛺蝶紛飛鳥雀啼。
"Ngâm án tích thành thiên thập phú,",吟案積成篇什富，
Điệt nhi thừa hạ thỉnh văn đề.,侄兒乘暇請文題。
"Ngô tiền vạn tượng đô phong nhã,",吾前萬象都風雅，
Bất vấn hồng trần kỷ xa mã.,不問紅塵幾車馬。
"Thi đường chủ nhân thục đắc kỳ,",詩堂主人孰得奇，
Liêu khuếch du thần vong vật ngã.,寥廓游神忘物我。
"Liêm lung trú tịch tiễu vô ngôn,",簾櫳晝寂悄無言，
Ngọ thuỵ tỉnh lai nhật hướng hôn.,午睡醒來日向昏。
"Trừ dữ tỉnh thần hoan yến ngoại,",除與省臣歡讌外，
Du an tiển hữu xuất sài môn.,遊鞍鮮有出柴門。
"Điểm kiểm oanh hoa ngâm bất tận,",點檢鶯花吟不盡，
Hảo hướng lâm tuyền nhất cao ẩn.,好向林泉一高隱。
Tiêu dao dưỡng đắc ngô bản chân,逍遙養得吾本真，
Tạo hoá dữ nhàn vô thiểu trác.,造化與閒無少斲。
"Càn khôn đáo xứ tức vi gia,",乾坤到處即為家，
Lạc tương quan cái ngạo yên hà.,樂將冠蓋傲煙霞。
"Hoài thổ khởi tu nhi nữ ý,",懷土豈須兒女意，
Nguyệt trung bả trản phát cao ca.,月中把盞發高歌。
