vi,ch
"Sào ty tu trường bất tu bạch,",繅絲須長不須白，
Việt la thục cẩm kim túc xích.,越羅蜀錦金粟尺。
"Tượng sàng ngọc thủ loạn ân hồng,",象床玉手亂殷紅，
Vạn thảo thiên hoa động ngưng bích.,萬草千花動凝碧。
"Dĩ bi tố chất tuỳ thì nhiễm,",已悲素質隨時染，
Liệt hạ minh ky sắc tương xạ.,裂下鳴機色相射。
"Mỹ nhân tế ý uý thiếp bình,",美人細意熨帖平，
Tài phùng diệt tận châm tuyến tích.,裁縫滅盡針線蹟。
"Xuân thiên y trước vị quân vũ,",春天衣著為君舞，
Giáp điệp phi lai hoàng ly ngữ.,蛺蝶飛來黃鸝語。
"Lạc nhứ du ty diệc hữu tình,",落絮遊絲亦有情，
Tuỳ phong chiếu nhật nghi khinh cử.,隨風照日宜輕舉。
"Hương hãn khinh trần ô nhan sắc,",香汗輕塵污顏色，
Khai tân hợp cố trí hà hử.,開新合故置何許。
"Quân bất kiến tài sĩ cấp dẫn nan,",君不見才士汲引難，
Khủng cụ khí quyên nhẫn ky lữ.,恐戄棄捐忍羈旅。
