vi,ch
"Dã hấp, dã tịch:",也翕，也闢；
"Hà lự, hà tư?",何慮，何思？
Cái đào chú chi do mệnh;,蓋陶鑄之由命；
Khởi trí lực chi năng vi?,豈智力之能為？
"Thiên quân thái nhiên, tuân đạo hồ vô phản vô trắc;",天君泰然，遵道乎無反無側；
"Thượng đế lâm nhữ, thuận tắc ư bất thức bất tri.",上帝臨汝，順則於不識不知。
Hà vi thiên?,何為天？
Hạo hạo vô ngân;,浩浩無垠；
Dương dương tuấn cực.,洋洋峻極。
Vân hành vũ thí các lưu hình;,雲行雨施各流形；
Nhật vãng nguyệt lai vô hưu tức.,日往月來無休息。
"Cổ chú cơ giam mặc vận, thảm tắc vạn vật giai thảm, thư tắc vạn vật giai thư;",鼓鑄機緘默運，慘則萬物皆慘，舒則萬物皆舒；
"Phát sinh đạo lí tự nhiên, bạch giả vạn cổ thường bạch, hắc giả vạn cổ thường hắc.",發生道理自然，白者萬古常白，黑者萬古常黑。
Hà vị thiên quân?,何謂天君？
Linh đài oánh tĩnh;,靈臺瑩靜；
Hư thất linh lung.,虛室玲瓏。
"Vô ý, tất, cố, ngã;",無意，必，固，我；
"Tri cương, nhu, biến, thông.",知剛，柔，變，通。
"Dụng tắc hành, xả tắc tàng, xuất, xử, ngữ, mặc, giai thông hồ thời nghĩa;",用則行，舍則藏，出，處，語，黙，皆通乎時義；
"Ngôn chi tín, hành chi quả, tử, sinh, kinh, cụ, bất nhập hồ hung trung.",言之信，行之果，死，生，驚，懼，不入乎胸中。
Cố quân tử:,故君子：
Tri sở thao trì;,知所操持；
Tại tư trừu dịch.,在茲紬繹。
Ung ung dĩ nhạ giai giai;,雍雍以迓喈喈；
Đãng đãng nhi vô thích thích.,蕩蕩而無戚戚。
"Cung kính nhi sự thượng, như phong tòng hổ, vân tòng long;",恭敬而事上，如風從虎，雲從龍；
"Minh triết dĩ bảo thân, vô cứ vu lê, khốn vu thạch.",明哲以保身，毋據于藜，困于石。
Nãi năng:,乃能：
Cát vô bất lợi;,吉無不利；
Động võng phất tàng.,動罔弗藏。
Khả dĩ nhậm trọng trí viễn;,可以任重致遠；
Ư yên thụ chỉ phát tường.,於焉受祉發祥。
"Hưởng quân tử chi bị phúc, hoàn quân tử chi lệnh danh, Thiên bảo: “Tỉ nhĩ tiển cốc”;",享君子之備福，完君子之令名，天保：「俾爾戩榖」；
"Cư thiên hạ chi quảng cư, hành thiên hạ chi đạt đạo, Hồng phạm: “Thân kỳ khang cường”.",居天下之廣居，行天下之達道，洪範：「身其康彊」。
Thí quan:,試觀：
Tái chư giản biên;,載諸簡編；
Túc vi giám giới.,足為監戒。
"Khuất Nguyên, Giới Tử, cô phẫn tự tường;",屈原，介子，孤憤自戕；
"Linh Vận, Hy Chi, khinh đầu thủ bại.",靈運，羲之，輕投取敗。
"Quách Phần Dương an nghĩa mệnh, trượng trung tín, thiếu quý, lão toàn;",郭汾陽安義命，仗忠信，少貴，老全；
"Lã Bình Chương xử đại sự bất hồ đồ, quốc an, gia thái.",呂平章處大事，不糊塗，國安，家泰。
Cư ngô ngữ tử:,居吾語子：
Vi thần bất dị;,為臣不易；
Hành lộ thậm nan.,行路甚難。
Đầu giác tuy vân ngang tủng;,頭角雖云昂聳；
Mấn mao hốt dĩ thương ban.,鬢髦忽已蒼班。
"Thượng hạ vô thường, tiến thoái vô hằng, thả yếu cần hành bất tức;",上下無常，進退無恆，且要勤行不息；
"Tây nam vi di, đông bắc vi hiểm, tất tư thuận xử nãi an.",西南為夷，東北為險，必思順處乃安。
Thâm tư tai:,深思哉：
Thái Thanh nhất chung;,太清一鐘；
Đại yến tam tước.,大燕三爵。
Tu giác ngộ ư vị minh;,須覺悟於未明；
Vật trầm hàm nhi tự ngược.,勿沈酣而自虐。
"Thời suy di nhi biến hoá, luân đàn tuỳ dữ vãng lai;",時推移而變化，輪彈隨與往來；
"Cương đoản chiết nhu cửu trường, xỉ thiệt khởi tranh cường nhược.",剛短折柔久長，齒舌豈爭彊弱。
"Dư cái luận tính mệnh chi nhất đoan,",余蓋論性命之一端，
Nhược toàn thể xứ thượng do thương hải chi nhất thược!,若全體處，尚猶滄海之一勺！
