vi,ch
"Khúc giang thiên khoảnh thu ba tịnh,",曲江千頃秋波淨，
Bình phô hồng vân cái minh kính.,平鋪紅雲蓋明鏡。
"Đại Minh cung trung cấp sự quy,",大明宮中給事歸，
Tẩu mã lai khan lập bất chính.,走馬來看立不正。
"Di ngã minh châu cửu thập lục,",遺我明珠九十六，
Hàn quang ánh cốt thuỵ ly mục.,寒光映骨睡驪目。
"Ngã kim quan nhàn đắc bà sa,",我今官閑得婆娑，
Vấn ngôn “Hà xứ phù dung đa?”,問言何處芙蓉多？
"Sanh chu Côn Minh độ vân cẩm,",撐舟昆明渡雲錦，
Cước xao lưỡng huyền khiếu Ngô ca.,腳敲兩舷叫吳歌。
"Thái Bạch sơn cao tam bách lý,",太白山高三百里，
Phụ tuyết thôi ngôi sáp hoa lý.,負雪摧嵬插花里。
"Ngọc sơn tiền khước bất phục lai,",玉山前卻不復來，
Khúc Giang đinh uynh thuỷ bình bôi.,曲江汀瀅水平杯。
"Ngã thì tương tư bất giác nhất hồi thủ,",我時相思不覺一回首，
Thiên môn cửu phiến tương đương khai.,天門九扇相當開。
"Thượng giới chân nhân túc quan phủ,",上界真人足官府，
Khởi như tán tiên tiên đáp loan phụng chung nhật tương truy bồi.,豈如散仙鞭答鸞鳳終日相追陪。
