vi,ch
"Quân bất kiến,",君不見：
"Khoa Phụ trục nhật khuy Ngu Uyên,",夸父逐日窺虞淵，
Đào cân bắc hải siêu Côn Luân.,跳跟北海超昆侖。
"Phi tiêu quyết Hán xuất hãng dới,",披霄抉漢出沆瀣，
Miết liệt tả hữu di tinh thần.,瞥裂左右遺星辰。
"Tu du lực tận đạo khát tử,",須臾力盡道渴死，
Hồ thử phong nghĩ tranh phệ thôn.,狐鼠蜂蟻爭噬吞。
"Bắc phương Tĩnh nhân trường cửu thốn,",北方竫人長九寸，
Khai khẩu chỉ chưởng canh tiếu huyên.,開口扺掌更笑喧。
"Thu thu ẩm thực trích dữ lạp,",啾啾飲食滴與粒，
Sinh tử diệc túc chung thiên niên.,生死亦足終天年。
"Huy hu đại chí tiểu thành toại,",睢盱大志小成遂，
Toạ sử nhi nữ tương bi lân.,坐使兒女相悲憐。
