vi,ch
"Vọng Di cung trung lộc vi mã,",望夷宮中鹿為馬，
Tần nhân bán tử Trường Thành hạ.,秦人半死長城下。
"Tỵ thì bất độc Thương Sơn ông,",避時不獨商山翁，
Diệc hữu Đào Nguyên chủng đào giả.,亦有桃源種桃者。
"Thử lai chủng đào kinh kỷ xuân,",此來種桃經幾春，
Thái hoa thực thực chi vi tân.,採花食實枝為薪。
"Nhi tôn sinh trưởng dữ thế cách,",兒孫生長與世隔，
Tuy hữu phụ tử vô quân thần.,雖有父子無君臣。
"Ngư lang dạng chu mê viễn cận,",漁郎漾舟迷遠近，
Hoa gian tương kiến nhân tương vấn.,花間相見因相問。
"Thế thượng na tri cổ hữu Tần,",世上那知古有秦，
Sơn trung khởi liệu kim vi Tấn.,山中豈料今為晉。
"Văn đạo Trường An xuy chiến trần,",聞道長安吹戰塵，
Xuân phong hồi thủ nhất triêm cân.,春風回首一霑巾。
"Trùng Hoa nhất khứ ninh phục đắc,",重華一去寧復得，
Thiên hạ phân phân kinh kỷ Tần.,天下紛紛經幾秦。
