vi,ch
"Hồng trần bạch lãng lưỡng mang mang,",紅塵白浪兩茫茫，
Nhẫn nhục nhu hoà thị diệu phương.,忍辱柔和是妙方。
"Đáo xứ tuỳ duyên diên tuế nguyệt,",到處隨緣延歲月，
Chung thân an phận độ thời quang.,終身安分度時光。
"Hưu tương tự kỷ tâm điền muội,",休將自己心田昧，
Mạc bả tha nhân quá thất dương.,莫把他人過失揚。
"Cẩn thận ứng thù vô áo não,",謹慎應酬無懊惱，
Nại phiền tác sự hảo thương lường.,耐煩作事好商量。
"Tòng lai ngạnh nỗ huyền tiên đoạn,",從來硬弩弦先斷，
Mỗi kiến cương đao khẩu dị thương.,每見鋼刀口易傷。
"Nhạ hoạ chỉ nhân nhàn khẩu thiệt,",惹禍只因閑口舌，
Chiêu khiên đa vị ngận tâm trường.,招愆多為狠心腸。
"Thị phi bất tất tranh nhân ngã,",是非不必爭人我，
Bỉ thử hà tu luận đoản trường.,彼此何須論短長。
"Thế sự do lai đa khuyết hãm,",世事由來多缺陷，
Huyễn khu yên đắc miễn vô thường.,幻軀焉得免無常。
"Ngật ta khuy xứ nguyên vô ngại,",吃些虧處原無礙，
Thoái nhượng tam phân dã bất phương.,退讓三分也不妨。
"Xuân nhật tài khan dương liễu lục,",春日才看楊柳綠，
Thu phong hựu kiến cúc hoa hoàng.,秋風又見菊花黃。
"Vinh hoa chung thị tam canh mộng,",榮華終是三更夢，
Phú quý hoàn đồng cửu nguyệt sương.,富貴還同九月霜。
"Lão bệnh tử sinh thuỳ thế đắc,",老病死生誰替得，
Toan điềm khổ lạt tự thừa đương.,酸甜苦辣自承當。
"Nhân tòng xảo kế khoa linh lợi,",人從巧計誇伶俐，
Thiên tự thung dung định chủ trương.,天自從容定主張。
"Siểm khúc tham sân đoạ địa ngục,",諂曲貪嗔墮地獄，
Công bình chính trực tức thiên đường.,公平正直即天堂。
"Xạ nhân hương trọng thân tiên tử,",麝因香重身先死，
Tàm vị ti đa mệnh tảo vong.,蠶為絲多命早亡。
"Nhất tễ dưỡng thần bình vị tán,",一劑養神平胃散，
Lưỡng chung hoà khí nhị trần thang.,兩盅和氣二陳湯。
"Sinh tiền uổng phí tâm thiên vạn,",生前枉費心千萬，
Tử hậu không lưu thủ nhất song.,死後空留手一雙。
"Bi hoan ly hợp triêu triêu náo,",悲歡離合朝朝鬧，
Thọ yểu cùng thông nhật nhật mang.,壽夭窮通日日忙。
"Hưu đắc tranh cường lai đấu thắng,",休得爭強來鬥勝，
Bách niên hỗn thị hý văn trường.,百年渾是戲文場。
"Khoảnh khắc nhất thanh la cổ hiết,",頃刻一聲鑼鼓歇，
Bất tri hà xứ thị gia hương.,不知何處是家鄉。
