vi,ch
"Khương hầu thiết khoái đương nghiêm đông,",姜侯設膾當嚴冬，
Tạc nhật kim nhật giai thiên phong.,昨日今日皆天風。
"Hà đống vị ngư bất dị đắc,",河凍未漁不易得，
Tạc băng khủng xâm Hà bá cung.,鑿冰恐侵河伯宮。
"Ung nhân thụ ngư Giao nhân thủ,",饔人受魚鮫人手，
Tẩy ngư ma đao ngư nhãn hồng.,洗魚磨刀魚眼紅。
"Vô thanh tế hạ phi toái tuyết,",無聲細下飛碎雪，
Hữu cốt dĩ đoá tuỷ xuân thông.,有骨已剁觜春蔥。
"Thiên khuyến phúc du quý niên thiếu,",偏勸腹腴愧年少，
Nhuyễn xuy hương phạn duyên lão ông.,軟炊香飯緣老翁。
"Lạc châm hà tằng bạch chỉ thấp,",落砧何曾白紙濕，
Phóng trợ vị giác kim bàn không.,放箸未覺金盤空。
"Tân hoan tiện bão Khương hầu đức,",新歡便飽姜侯德，
Thanh tràng dị vị tình lũ cực.,清觴異味情屢極。
"Đông qui tham lộ tự giác nan,",東歸貪路自覺難，
Dục biệt thướng mã thân vô lực.,欲別上馬身無力。
"Khả liên vi nhân hảo tâm sự,",可憐為人好心事，
Ư ngã kiến tử chân nhan sắc.,於我見子真顏色。
"Bất hận ngã suy tử quý thì,",不恨我衰子貴時，
Trướng vọng thả vi kim tương ức.,悵望且為今相憶。
