vi,ch
"Hoành lộ phế cửu bất thành lộ,",橫路廢久不成路，
Vũ phu nguy nguy nghiễm như cố.,珷玞巍巍儼如故。
"Lân ấp phụ nữ thường vãng lai,",鄰邑婦女常往來，
"Thiển xứ cập phì, thâm cập cổ.",淺處及腓深及股。
Vũ phu toạ kiến hoản nhiên tiếu:,珷玞坐見睆然笑：
“Nhĩ hữu hà vật như thử tố?”,尒有何物如此素？
Thảng hoàng yểm tế tiền chí từ:,傖惶厭蔽前至辭：
"“Ngẫu nhĩ quai sơ, hạnh vật nộ!”",偶尒乖疎幸物怒！
Ông ngôn: “Ngã hà nộ nhĩ vi?,翁言我何怒尒為？
Nộ nhĩ hà cang ngã dương cụ!,怒尒何亢我陽具！
"Nhĩ quy nghi cáo nhĩ hương lân,",尒歸宜告尒鄉鄰，
Tảo lai ngã tích nhĩ dận tộ.”,早來我錫尒胤祚。
"Cổ kim thử hương sinh xuất nhân,",古今此鄉生出人，
Khẩu thoại nhất ngôn thiêm loại vũ.,口話一言僉類珷。
