vi,ch
"Thu hoa thảm đạm thu thảo hoàng,",秋花慘淡秋草黃，
Cảnh cảnh thu đăng thu dạ trường.,耿耿秋燈秋夜長。
"Dĩ giác thu song thu bất tận,",已覺秋窗秋不盡，
Ná kham phong vũ trợ thê lương.,哪堪風雨助淒涼！
"Trợ thu phong vũ lai hà tốc,",助秋風雨來何速！
Kinh phá thu song thu mộng tục.,驚破秋窗秋夢續。
"Bão đắc thu tình bất nhẫn miên,",抱得秋情不忍眠，
Tự hướng thu bình di lệ chúc.,自向秋屏移淚燭。
"Lệ chúc dao dao nhược đoản kềnh,",淚燭搖搖箬短檠，
Khiên sầu chiếu hận động ly tình.,牽愁照恨動離情。
Thuỳ gia thu viện vô phong nhập?,誰家秋院無風入？
Hà xứ thu song vô vũ thanh?,何處秋窗無雨聲？
"La khâm bất nại thu phong lực,",羅衾不奈秋風力，
Tàn lậu thanh thôi thu vũ cấp.,殘漏聲催秋雨急。
"Liên tiêu mạch mạch phục sưu sưu,",連宵脈脈復颼颼，
Đăng tiền tự bạn ly nhân khấp.,燈前似伴離人泣。
"Hàn yên tiểu viện chuyển tiêu điều,",寒煙小院轉蕭條，
Sơ trúc hư song thì tích lịch.,疏竹虛窗時滴瀝。
"Bất tri phong vũ kỷ thì hưu,",不知風雨几時休，
Dĩ giao lệ sái song sa thấp.,已教淚洒窗紗濕。
