vi,ch
"Giang thượng nhân gia đào thụ chi,",江上人家桃樹枝，
Xuân hàn tế vũ xuất sơ ly.,春寒細雨出疏籬。
"Ảnh tao bích thuỷ tiềm câu dẫn,",影遭碧水潛勾引，
Phong đố hồng hoa khước đảo xuy.,風妒紅花卻倒吹。
"Xuy hoa khốn điên bàng chu tiếp,",吹花困癲傍舟楫，
Thuỷ quang phong lực câu tương khiếp.,水光風力俱相怯。
"Xích tăng khinh bạc già nhập hoài,",赤憎輕薄遮入懷，
Trân trọng phân minh bất lai tiếp.,珍重分明不來接。
"Thấp cửu phi trì bán nhật cao,",溼久飛遲半日高，
Oanh sa nhạ thảo tế ư mao.,縈沙惹草細於毛。
"Mật phong hồ điệp sinh tình tính,",蜜蜂蝴蝶生情性，
Thâu nhãn tinh đình tỵ bách lao.,偷眼蜻蜓避百勞。
