vi,ch
"Ngưỡng bỉ sóc phong,",仰彼朔風，
"Dụng hoài Nguỵ đô,",用懷魏都，
"Nguyện sính Đại mã,",願騁代馬，
Thúc hốt bắc tồ.,倏忽北徂。
"Khải phong vĩnh chí,",凱風永至，
"Tư bỉ man phương,",思彼蠻方，
"Nguyện tuỳ Việt điểu,",願隨越鳥，
Phiên phi nam tường.,翻飛南翔。
"Tứ khí đại tạ,",四氣代謝，
"Huyền cảnh vận chu,",懸景運周，
"Biệt như phủ ngưỡng,",別如俯仰，
Thoát lạc tam thu.,脫落三秋。
"Tích ngã sơ thiên,",昔我初遷，
Chu hoa vị hy.,朱華未希。
"Kim ngã toàn chỉ,",今我旋止，
Tố tuyết vân phi.,素雪云飛。
"Phủ giáng thiên nhận,",俯降千仞，
Ngưỡng đăng thiên trở.,仰登天阻。
"Phong phiêu bồng phi,",風飄蓬飛，
Tải ly hàn thử.,載離寒暑。
"Thiên nhận dị trắc,",千仞易陟，
"Thiên trở khả việt,",天阻可越，
"Tích ngã đồng bào,",昔我同袍，
Kim vĩnh quai biệt!,今永乖別！
"Tử hiếu phương thảo,",子好芳草，
Khởi vọng nhĩ di?,豈望爾貽？
"Phồn hoa tương mậu,",繁華將茂，
Thu sương tuỵ chi.,秋霜悴之。
"Quân bất thuỳ quyến,",君不垂眷，
Khởi vân kỳ giới?,豈云其誡？
"Thu lan khả dụ,",秋蘭可喻，
Quế thụ đông vinh.,桂樹冬榮。
"Huyền ca đãng tứ,",絃歌蕩思，
Thuỳ dữ tiêu ưu?,誰與消憂？
"Lâm xuyên mộ tứ,",臨川慕思，
Hà vi phiếm chu?,何為汎舟？
"Khởi vô hoà nhạc,",豈無和樂，
Du phi ngã lân.,遊非我鄰。
Thuỳ vong phiếm chu?,誰忘泛舟？
Quý vô bảng nhân.,愧無榜人。
