vi,ch
"Tế Lâm sơn thượng dạ ô đề,",細林山上夜烏啼，
Tế Lâm sơn hạ thu thảo tê.,細林山下秋草齊。
"Hữu khách biển Chu bất hệ lãm,",有客扁舟不系纜，
Thừa phong trực há Tùng giang tê.,乘風直下松江西。
"Khước ức đương niên Tế Lâm khách,",卻憶當年細林客，
Mạnh công tứ hải văn chương bá.,孟公四海文章伯。
"Tích nhật tằng lai phỏng bạch vân,",昔日曾來訪白雲，
Lạc diệp mãn sơn tầm bất đắc.,落葉滿山尋不得。
"Thuỷ tri Mạnh công hồ hải nhân,",始知孟公湖海人，
Hoang đài cổ nguyệt thuỷ lân lân.,荒臺古月水粼粼。
"Tương phùng đối khốc thiên hạ sự,",相逢對哭天下事，
Tửu hàm bễ nghễ ý khí thân.,酒酣睥睨意氣親。
"Khứ tuế Bình Lăng cổ thanh tử,",去歲平陵鼓聲死，
Dữ công đồng độ Ngô Giang thuỷ.,與公同渡吳江水。
"Kim niên mộng đoạn cửu phong vân,",今年夢斷九峰雲，
Tinh kỳ do ánh mộ sơn tử.,旌旗猶映暮山紫。
"Tiêu sái Tần đình lệ dĩ huy,",瀟灑秦庭淚已揮，
Phảng phất Liêu Thành thỉ cánh phi.,彷彿聊城矢更飛。
"Hoàng hộc dục cử lục cách chiết,",黃鵠欲舉六翮折，
Mang mang tứ hải tương an quy.,茫茫四海將安歸。
"Thiên địa cục tích nhật nguyệt xúc,",天地跼蹐日月促，
Khí như trường hồng táng ngư phúc.,氣如長虹葬魚腹。
"Trường đoạn đương niên quốc sĩ ân,",腸斷當年國士恩，
Tiễn chỉ chiêu hồn vị công khốc.,剪紙招魂為公哭。
"Liệt Hoàng thừa vân ngự lục long,",烈皇乘雲御六龍，
Phan nhiêm khống ngự tiên Văn Trung.,攀髯控馭先文忠。
"Quân thần địa hạ hội tương kiến,",君臣地下會相見，
Lệ sái Xương Hạp bi sinh phong.,淚灑閶闔悲生風。
"Ngã dục quy lai chấn vũ dực,",我欲歸來振羽翼，
Thuỳ tri nhất cử nhập la dặc.,誰知一舉入羅弋。
"Gia thế kham lân Triệu thị cô,",家世堪憐趙氏孤，
Đáo kim cánh tác Điền Hoành khách.,到今竟作田橫客。
Ô hô!,嗚呼！
"Phủ ưng nhất thanh giang vân khai,",撫膺一聲江雲開，
Thân tại la võng thả mạc ai.,身在羅網且莫哀。
Công hồ! Công hồ!,公乎！公乎！
"Vị ngã trúc thất bạng dạ đài,",為我築室傍夜臺，
Sương hàn nguyệt khổ hành đương lai.,霜寒月苦行當來。
