vi,ch
"Lão khứ hoa tàn xuân nhật mộ,",老去花殘春日暮，
Hoạn du ngẫu chí Đàn Khê lộ;,宦遊偶至檀溪路；
"Đình tham dao vọng độc bồi hồi,",停驂遙望獨徘徊，
Nhãn tiền linh lạc phiêu hồng nhứ.,眼前零落飄紅絮。
"Ám tưởng Hàm Dương hoả đức suy,",暗想咸陽火德衰，
Long tranh hổ đấu giao tương trì;,龍爭虎鬥交相持。
"Tương Dương hội thượng vương tôn ẩm,",襄陽會上王孫飲，
Toạ trung Huyền Đức thân tương nguy.,坐中玄德身將危。
"Đào sinh độc xuất tây môn đạo,",逃生獨出西門道，
Bối hậu truy binh phục tương đáo.,背後追兵復將到。
"Nhất xuyên yên thuỷ trướng Đàn Khê,",一川煙水漲檀溪，
Cấp sất chinh kị vãng tiền khiêu.,急叱征騎往前跳。
"Mã đề đạp toái thanh pha ly,",馬蹄踏碎青玻璃，
Thiên phong hưởng xử kim tiên huy.,天風響處金鞭揮。
"Nhĩ bạn đãn văn thiên kị tẩu,",耳畔但聞千騎走，
Ba trung hốt kiến song long phi.,波中忽見雙龍飛。
"Tây Xuyên độc phách chân anh chủ,",西川獨霸真英主，
Toạ hạ long câu lưỡng tương ngộ.,坐下龍駒兩相遇。
"Đàn Khê khê thuỷ tự đông lưu,",檀溪溪水自東流，
Long câu anh chủ kim hà xử!,龍駒英主今何處？
"Lâm lưu tam thán tâm dục toan,",臨流三歎心欲酸，
Tà dương tịch tịch chiếu không san;,斜陽寂寂照空山。
"Tam phân đỉnh túc hồn như mộng,",三分鼎足渾如夢，
Tung tích không lưu tại thế gian.,蹤跡空留在世間。
