vi,ch
"Tích giả Sở Tương Vương dữ Tống Ngọc du ư Vân Mộng chi đài, vọng Cao Đường chi quán. Kỳ thượng độc hữu vân khí, tuỵ hề trực thướng, hốt hề cải dung, tu du chi gian, biến hoá vô cùng.",昔者楚襄王與宋玉遊於雲夢之臺，望高唐之觀。其上獨有雲氣，崒兮直上，忽兮改容，須臾之間，變化無窮。
Vương vấn Ngọc viết: Thử hà khí dã?,王問玉曰：此何氣也？
Ngọc đối viết: Sở vị Triêu Vân giả dã.,玉對曰：所謂朝雲者也。
Vương viết: Hà vị Triêu Vân?,王曰：何謂朝雲？
"Ngọc viết: Tích giả tiên vương thường du Cao Đường, đãi nhi trú tẩm, mộng kiến nhất phụ nhân, viết: “Thiếp Vu sơn chi nữ dã, vi Cao Đường chi khách. Văn quân du Cao Đường, nguyện tiến chẩm tịch.” Vương nhân hạnh chi. Khứ nhi từ viết: “Thiếp tại Vu sơn chi dương, cao khâu chi trở, đán vi Triêu Vân, mộ vi hành vũ. Triêu triêu mộ mộ, Dương Đài chi hạ.” Đán triêu thị chi như ngôn, cố vi lập miếu, hiệu viết Triêu Vân.",玉曰：昔者先王嘗遊高唐，怠而晝寢，夢見一婦人，曰：「妾巫山之女也，為高唐之客。聞君遊高唐，願薦枕席。」王因幸之。去而辭曰：「妾在巫山之陽，高丘之阻，旦為朝雲，暮為行雨。朝朝暮暮，陽臺之下。」旦朝視之如言，故為立廟，號曰『朝雲』。
"Vương viết: Triêu Vân thuỷ xuất, trạng nhược hà dã?",王曰：朝雲始出，狀若何也？
"Ngọc đối viết: Kỳ thuỷ xuất dã, đối hề nhược tùng thì. Kỳ thiểu tiến dã, tích hề nhược giảo cơ. Dương duệ chương nhật, nhi vọng sở tư. Hốt hề cải dung, kệ hề nhược giá tứ mã, kiến vũ kỳ. Tưu hề như phong, thê hề như vũ. Phong chỉ vũ tễ, vân vô xứ sở.",玉對曰：其始出也，㬣兮若松榯。其少進也，晰兮若姣姬。揚袂鄣日，而望所思。忽兮改容，偈兮若駕駟馬，建羽旗。湫兮如風，淒兮如雨。風止雨霽，雲無處所。
Vương viết: Quả nhân phương kim khả dĩ du hồ?,王曰：寡人方今可以遊乎？
Ngọc viết: Khả.,玉曰：可。
Vương viết: Kỳ hà như hĩ?,王曰：其何如矣？
"Ngọc viết: Cao hĩ hiển hĩ, lâm vọng viễn hĩ! Quảng hĩ phổ hĩ, vạn vật tổ hĩ! Thượng thuộc ư thiên, hạ kiến ư uyên, trân quái kỳ vĩ, bất khả xưng luận.",玉曰：高矣顯矣，臨望遠矣！廣矣普矣，萬物祖矣！上屬於天，下見於淵，珍怪奇偉，不可稱論。
Vương viết: Thí vi quả nhân phú chi.,王曰：試為寡人賦之。
Ngọc viết: Duy duy.,玉曰：唯唯。
"Duy Cao Đường chi đại thể hề, thù vô vật loại chi khả nghi tỉ.",惟高唐之大體兮，殊無物類之可儀比。
"Vu sơn hách kỳ vô trù hề, đạo hỗ chiết nhi tằng luỹ.",巫山赫其無疇兮，道互折而曾累。
"Đăng sàm nham nhi hạ vọng hề, lâm đại để chi súc thuỷ.",登巉巖而下望兮，臨大阺之稸水。
"Ngộ thiên vũ chi tân tễ hề, quan bách cốc chi câu tập.",遇天雨之新霽兮，觀百穀之俱集。
"Tị hung hung kỳ vô thanh hề, hội đạm đạm nhi tịnh nhập.",濞洶洶其無聲兮，潰淡淡而並入。
"Bàng dương dương nhi tứ thi hề, ống trạm trạm nhi phất chỉ.",滂洋洋而四施兮，蓊湛湛而弗止。
"Trường phong chí nhi ba khởi hề, nhược ly sơn chi cô mẫu.",長風至而波起兮，若麗山之孤畝。
"Thế bạc ngạn nhi tương kích hề, ách giao dẫn nhi khước hội.",勢薄岸而相擊兮，隘交引而卻會。
"Tuỵ trung nộ nhi đặc cao hề, nhược phù hải nhi vọng kiệt.",崒中怒而特高兮，若浮海而望碣。
"Thạch lịch lỗi lỗi nhi tương ma hề, vanh chấn thiên chi khái khái.",石礫磥磥而相摩兮，巆震天之磕磕。
"Cự thạch nịch nịch chi sàm tiếu hề, mạt đồng đồng nhi cao lệ.",巨石溺溺之瀺灂兮，沫潼潼而高厲。
"Thuỷ đạm đạm nhi bàn hu hề, hồng ba dâm dâm chi dung duệ.",水澹澹而盤紆兮，洪波淫淫之溶㵝。
"Bôn dương dũng nhi tương kích hề, vân hưng thanh chi bái bái.",奔揚踴而相擊兮，雲興聲之霈霈。
"Mãnh thú kinh nhi khiêu hãi hề, vọng bôn tẩu nhi trì mại.",猛獸驚而跳駭兮，妄奔走而馳邁。
"Hổ báo sài huỷ, thất khí khủng uế.",虎豹豺兕，失氣恐喙。
"Điêu ngạc ưng diêu, phi dương phục thoán,",雕鶚鷹鷂，飛揚伏竄，
"Cổ chiến hiếp tức, an cảm vọng chí.",股戰脅息，安敢妄摯。
"Ư thị thuỷ trùng tận bạo, thừa chử chi dương.",於是水蟲盡暴，乘渚之陽。
"Ngoan đà chiên vị, giao tích tung hoành.",黿鼉鱣鮪，交積縱橫。
"Chấn lân phấn dực, uy uy uyển uyển.",振鱗奮翼，蜲蜲蜿蜿。
"Trung phản dao vọng, huyền mộc đông vinh.",中阪遙望，玄木冬榮。
"Hoàng hoàng huỳnh huỳnh, đoạt nhân mục tinh.",煌煌熒熒，奪人目精。
"Lạn hề nhược liệt tinh, tằng bất khả đàn hình.",爛兮若列星，曾不可殫形。
"Trăn lâm uất thịnh, ba hoa phúc cái.",榛林鬱盛，葩華覆蓋。
"Song kỷ thuỳ phòng, củ chi hoàn hội.",雙椅垂房，糾枝還會。
"Tỉ mỹ đạm đạm, tuỳ ba ám ái.",徙靡澹淡，隨波闇藹。
"Đông tây thi dực, y nỉ phong phái.",東西施翼，猗狔豐沛。
"Lục diệp tử khoả, đan hành bạch đế.",綠葉紫裹，丹莖白蔕。
"Tiêm điều bi minh, thanh tự vu lại.",纖條悲鳴，聲似竽籟。
"Thanh trọc tương hoạ, ngũ biến tứ hội.",清濁相和，五變四會。
"Cảm tâm động nhĩ, hồi trường thương khí.",感心動耳，迴腸傷氣。
"Cô tử quả phụ, hàn tâm toan tị.",孤子寡婦，寒心酸鼻。
"Trưởng lại huy quan, hiền sĩ thất chí.",長吏隳官，賢士失志。
"Sầu tư vô dĩ, thán tức thuỳ lệ.",愁思無已，歎息垂淚。
"Đăng cao viễn vọng, sử nhân tâm tuỵ.",登高遠望，使人心瘁。
"Bàn ngạn tán hoàn, chẩn trần ngại ngại.",盤岸巑岏，裖陳磑磑。
"Bàn thạch hiểm tuấn, khuynh khi nhai đồi.",磐石險峻，傾崎崖隤。
"Nham khu tam si, tòng hoành tương truy.",巖嶇參差，從橫相追。
"Tưu hỗ hoành ngỗ, bối huyệt yển chích.",陬互橫啎，背穴偃蹠。
"Giao gia luỹ tích, trùng điệp tăng ích.",交加累積，重疊增益。
"Trạng nhược Chỉ Trụ, tại Vu sơn hạ.",狀若砥柱，在巫山下。
"Ngưỡng thị sơn điên, túc hà thiên thiên,",仰視山顛，肅何千千，
"Huyễn diệu hồng nghê, phủ thị tranh vanh.",炫燿虹蜺，俯視崝嶸。
"Khuê liêu yểu minh, bất kiến kỳ để, hư văn tùng thanh.",窐寥窈冥，不見其底，虛聞松聲。
"Khuynh ngạn dương dương, lập nhi hùng kinh.",傾岸洋洋，立而熊經。
"Cửu nhi bất khứ, túc tận hãn xuất.",久而不去，足盡汗出。
"Du du hốt hốt, siêu trướng tự thất.",悠悠忽忽，怊悵自失。
"Sử nhân tâm động, vô cố tự khủng.",使人心動，無故自恐。
"Bí Dục chi đoán, bất năng vi dũng.",賁育之斷，不能為勇。
"Tốt ngạc dị vật, bất tri sở xuất.",卒愕異物，不知所出。
"Ly ly sân sân, nhược sinh ư quỷ, nhược xuất ư thần.",縰縰莘莘，若生於鬼，若出於神。
"Trạng tự tẩu thú, hoặc tượng phi cầm.",狀似走獸，或象飛禽。
"Quyệt nguỵ kỳ vĩ, bất khả cứu trần.",譎詭奇偉，不可究陳。
