vi,ch
Ô hô!,嗚呼！
Hoa di vọng trọng;,華夷望重；
Xã tắc công cao.,社稷功高。
Mai sổ Tống triều cự tuấn;,枚數宋朝巨俊；
Kỷ như Khấu lão thời mao.,幾如寇老辰髦。
"Hà cố bất tại trung thư, điều đỉnh nhiệm Thương hành chi trọng;",何故不在中書，調鼎任商衡之重；
"Khước nãi viễn lâm sa tái, chiết xung đương Hán khổn chi lao.",却乃遠臨沙塞，折衝當漢閫之勞。
Tất cánh:,畢竟：
Kiến kỵ vu nhân;,見忌于人；
Nan bình giả sự.,難平者事。
Yêu minh sỉ thậm ư Chân Tông;,要盟恥甚於眞宗；
Tự ước cừu thâm ư Vương tử.,沮約仇深於王子。
"Thiền Uyên hạ bế môn thúc thủ, bỉ ký giao túc oán chi vị thư;",澶淵下閉門束手，彼既膠宿怨之未舒；
"Thái Sơn điên điệp ngọc nê kim, tư cánh lự gian mưu chi kiến tự.",泰山巔牒玉泥金，玆更慮奸謀之見沮。
Cố cửu yêm hà thượng chi cao tường;,故久淹河上之翶翔；
Khởi đặc vị sóc phương chi hãn ngữ.,豈特爲朔方之桿禦。
