vi,ch
"Điều phong đạm đãng xuân tương bán,",條風淡蕩春將半，
Ỷ lan hốt thính oanh thanh loạn.,倚欄忽聽鶯聲亂。
"Cách trúc miên man biệt dạng đề,",隔竹綿蠻别様啼，
Nhiễu lâm hiện hoãn tương hô hoán.,遶林睍睆相呼喚。
"Tương hoán tương hô bất trú thanh,",相喚相呼不住聲，
Thanh thanh thiên động dã du tình.,聲聲偏動冶逰情。
"Vương tôn tái tửu thanh lâu tuý,",王孫載酒青樓醉，
Mỹ nữ tầm phương tử mạch hành.,美女尋芳紫陌行。
"Thanh lâu tử mạch xuân phong biến,",青樓紫陌春風徧，
Nhất chủng kiều thanh thiên vạn biến.,一種嬌聲千萬變。
"Phảng phất Tần tranh xuất cốc văn,",彷彿秦筝出谷聞，
Y hi Khương địch tuỳ phong chuyển.,依稀羌笛隨風囀。
"Tần tranh Khương địch vận du dương,",秦筝羌笛韻悠揚，
Kỷ xứ hoan ngu kỷ đoạn trường.,幾處歡娛幾斷腸。
"Khuê trung thiếu phụ bi chinh thú,",閨中少婦悲征戍，
Lộ thượng hành nhân ức cố hương.,路上行人憶故鄉。
"Cố hương miểu hà hử,",故鄉𣺌何許，
Oanh thanh hà thái khổ.,鶯聲何太苦。
"Chinh thú cách Liêu Dương,",征戍隔遼陽，
Văn oanh không tự thương.,聞鶯空自傷。
"Oanh lai oanh khứ tự niên niên,",鶯來鶯去自年年，
Thính thử đề thanh bội khả lân.,聽此啼聲倍可憐。
"Bách niên sầu mấn thanh trung cải,",百年愁鬢聲中改，
Cửu thập xuân quang thiệt thượng thiên.,九十春光舌上遷。
"Mạc thán Thiều hoa như chuyển cốc,",莫嘆韶華如轉轂，
Ái oanh thả phú “Thính oanh khúc”.,愛鶯且賦聽鶯曲。
"Đãn đắc trường văn liễu ngoại thanh,",但得長聞栁外聲，
Hà từ tần tiến bôi trung lục.,何辭頻進杯中醁。
