vi,ch
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
"Dữ ngã dĩ trí nhi đoản kỳ chí,",與我以智而短其志，
Dữ ngã dĩ thành nhi bệnh kỳ hình.,與我以成而病其形。
"Ký bất năng vi câu chi ngang ngang thiên lý,",既不能為駒之昂昂千里，
Hựu bất năng vi phù chi phiếm phiếm trung hành.,又不能為鳧之泛泛中行。
"Ký bất năng vi chí điểu chi tủng thân trắc mục,",既不能為鷙鳥之竦身側目，
Hựu bất năng vi ẩn báo chi liễm thái tàng thanh.,又不能為隱豹之歛彩藏聲。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
"Lạm tòng khoa hoạn lịch duyệt chu tinh,",濫從科宦歷閱周星，
Cửu an điềm thoái ngẫu thử gian trinh.,久安恬退偶此艱貞。
"Hốt văn hữu mệnh bất cảm dĩ hoàng ninh,",忽聞有命不敢以遑寧，
Danh nghĩa vi trọng lợi hại vi khinh.,名義為重利害為輕。
"Dục dĩ lý thắng nạn dữ thế tranh,",欲以理勝難與勢爭，
Hãn nhiên bất cố hữu vi vô thành.,悍然不顧有為無成。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
"Thượng vô dĩ báo đáp quân phụ,",上無以報答君父，
Hạ vô dĩ cực tế sinh linh.,下無以極濟生靈。
"Nội vô dĩ nghĩa hối tử điệt thiện hoá tộc lý,",內無以義誨子姪善化族里，
Ngoại vô dĩ trung tín tòng giả thuỷ chung bằng tình.,外無以忠信從者始終朋情。
Dân sinh tam sự tàm phụ thế linh.,民生三事慚負涕零。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
"Sinh nhi luân ư khuyển dương chi dị vực,",生而淪於犬羊之異域，
Hà như tử nhi đồng hồ thiên địa diểu minh.,何如死而同乎天地杳冥。
"Sinh nhi vi nhân gian chi huyền vưu phụ chuế,",生而為人間之懸疣附贅，
Hà như tử nhi vị giang sơn chi quỳnh chi ngọc anh.,何如死而為江山之瓊枝玉英。
"Nhị triêm thuỷ bích Nùng thường sơn thanh,",弭霑水碧濃常山青，
Nhất thốn tĩnh địa thiên cổ giai thành.,一寸靜地千古佳城。
Du du hồ! Dương dương hồ!,悠悠乎！洋洋乎！
Sóc chi kiếm! Không chi thi! Đằng chi thung!,朔之劍！空之詩！藤之樁！
"Tương dữ vi trắc giáng tả hữu phong vũ lôi đình,",相與為陟降左右風雨雷霆，
Dĩ tẩy hồ my thiên chi tinh.,以洗乎弥天之腥。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
Trù tích chi dạ mộng dữ Khuất Tử Bình đối ngã ngôn:,疇昔之夜夢與屈子平對我言：
"“Khứ điếu tựu hạ, khứ hạ tựu điếu”.",「去弔就賀，去賀就弔」。
"Hí kịch sổ đoạn tửu trường vị khuynh,",戲劇數段酒觴未傾，
"Nhi kim yên như mộng như giác, như tuý như tinh.",而今焉如夢如覺，如醉如醒。
"Tri ngã giả hoặc cơ kỳ quá phẫn,",知我者或譏其過憤，
Bất tri giả hoặc ác kỳ yêu danh.,不知者或惡其要名。
"Tri dữ bất tri,",知與不知，
Hựu an kế đương thế hậu thế chi thị phi xứng hành.,又安計當世後世之是非稱衡，
Tự tri tự phận liêu dĩ tự minh.,自知自分聊以自銘。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
"Nhân thuỳ mãn bách, bán bách ngải linh,",人誰滿百，半百艾零，
Ngã dĩ vi thọ trần đương giải anh.,我以為壽塵當解纓。
"Nhi hựu hà tiện hồ nhân sinh chi trường cần,",而又何羨乎人生之長勤，
Thương khổ hải chi linh đinh.,傷苦海之零汀。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
Thượng kỳ quy cáo gia nhi chúc ngã cố thất:,尚其歸告家兒祝我故室：
"Tích khanh ư gia chi giang,",昔卿於家之江，
"Kim ngã ư quốc chi giang,",今我於國之江，
"Tuy bất đắc đồng thì đồng nhật,",雖不得同時同日，
Do đắc đồng lưu đồng thanh.,猶得同流同清。
Ta ta tạo vật hề dĩ ngã vi sinh?,嗟嗟造物奚以我為生？
