vi,ch
"Tần Hoài tửu gia lai bạc thuyền,",秦淮酒家來泊船，
Lư ngư nhất cân tam bách tiền.,鱸魚一斤三百錢。
"Thuyền đầu mãi ngư tửu tân thục,",船頭買魚酒新熟，
Khước ức Da khê ca thái liên.,卻憶耶溪歌採蓮。
"Tuý lai khởi vũ lạc nhật vãn,",醉來起舞落日晚，
Huy thủ đạn kiệp phong linh nhiên.,揮手彈鋏風泠然。
"Thiếu niên bất tác Trường An khách,",少年不作長安客，
Lão khứ phùng thu đầu tuyết bạch.,老去逢秋頭雪白。
"Hưng Chu tu cầu Vị thuỷ tài,",興周須求渭水才，
An Hán Viên Công an tại tai.,安漢園公安在哉。
"Nhãn hoa xỉ chiết cánh hà ích,",眼花齒折竟何益，
Hảo phóng Đào Tiềm quy khứ lai.,好放陶潛歸去來。
