vi,ch
Khuê lý giai nhân niên thập dư,閨里佳人年十余，
Tần nga đối ảnh hận ly cư,顰蛾對影恨離居。
Hốt phùng giang thượng xuân qui yến,忽逢江上春歸燕，
Hàm đắc vân trung xích tố thư,銜得雲中尺素書。
Ngọc thủ khai giam trường thán tức:,玉手開緘長嘆息，
Cuồng phu do thú Giao Hà bắc!,狂夫猶戍交河北。
Vạn lý Giao Hà thuỷ bắc lưu,萬里交河水北流，
Nguyện vi song yến phiếm trung châu,愿為雙燕泛中洲。
Quân biên vân ủng thanh ty kỵ,君邊雲擁青絲騎，
Thiếp xứ đài sinh hồng phấn lâu,妾處苔生紅粉樓。
Lâu thượng xuân phong nhật tương yết,樓上春風日將歇，
Thuỳ năng lãm kính khan sầu phát?,誰能攬鏡看愁發。
Hiểu xuy viên quản tuỳ lạc hoa,曉吹員管隨落花，
Dạ đảo nhung y hướng minh nguyệt,夜搗戎衣向明月。
Minh nguyệt cao cao khắc lậu trường,明月高高刻漏長，
Chân châu liêm bạc yểm lan đường,真珠帘箔掩蘭堂。
Hoành thuỳ bảo ác đồng tâm kết,橫垂寶幄同心結，
Bán phất quỳnh diên tô hợp hương,半拂瓊筵蘇合香。
"Quỳnh diên, bảo ác liên chi cẩm",瓊筵寶幄連枝錦，
Đăng chúc huỳnh huỳnh chiếu cô tẩm,燈燭熒熒照孤寢。
Hữu sứ bằng tương kim tiễn đao,有使憑將金剪刀，
Vị quân lưu hạ tương tư chẩm,為君留下相思枕。
Trích tận đình lan bất kiến quân,摘盡庭蘭不見君，
Hồng cân thức lệ sinh nhân uân,紅巾拭淚生氤氳。
Minh niên nhược cánh chinh biên tái,明年若更征邊塞，
Nguyện tác Dương Đài nhất đoạn vân.,愿作陽臺一斷雲。
