vi,ch
"Tam Nguyên lý tiền thanh nhược lôi,",三元里前聲若雷，
Thiên chúng vạn chúng đồng thời lai.,千眾萬眾同時來。
"Nhân nghĩa sinh phẫn phẫn sinh dũng,",因義生憤憤生勇，
Hương dân hợp lực cường đồ tồi.,鄉民合力強徒摧。
"Gia thất điền lư nhu bảo vệ,",家室田廬需保衛，
Bất đãi cổ thanh quần tác khí.,不待鼓聲群作氣。
"Phụ nữ tề tâm diệc kiện nhi,",婦女齊心亦健兒，
Lê sừ tại thủ giai binh khí.,犁鋤在手皆兵器。
"Hương phần viễn cận kỳ ban lan,",鄉分遠近旗斑斕，
Thập đội bách đội duyên khê sơn.,什隊百隊沿溪山。
"Chúng di tương thị hốt biến sắc,",眾夷相視忽變色，
Hắc kỳ tử trượng nan sinh hoàn.,黑旗死仗難生還。
"Di binh sở thị duy sang pháo,",夷兵所恃惟槍炮，
Nhân tâm hợp xứ thiên tâm đáo.,人心合處天心到。
"Tình không sậu vũ hốt khuynh bồn,",晴空驟雨忽傾盆，
Hung di vô sở thi kỳ bạo.,凶夷無所施其暴。
"Khởi đặc hoả khí vô sở thi,",豈特火器無所施，
Di túc bất quán hành hoạt nê.,夷足不慣行滑泥。
"Hạ giả điền thăng khổ trịch trục,",下者田塍苦躑躅，
Cao giả cương phụ sầu điên tê.,高者岡阜愁顛擠。
"Trung hữu di tù mạo vưu xú,",中有夷酋貌尤醜，
Tượng bì tác giáp khoả thân hậu.,象皮作甲裹身厚。
"Nhất qua dĩ thung Trường Địch hầu,",一戈已舂長狄喉，
Thập nhật do huyền Chất Chi thủ.,十日猶懸郅支首。
"Phân nhiên dục độn vô song sí,",紛然欲遁無雙翅，
Tiêm quyết cừ khôi chân dịch sự.,殲厥渠魁真易事。
"Bất giải hà do cự võng khai,",不解何由巨網開，
Khô ngư cánh đắc du nhiên thệ.,枯魚竟得攸然逝。
"Nguỵ Giáng hoà Nhung thả giải ưu,",魏絳和戎且解憂，
Phong nhân khảng khái phú đồng cừu.,風人慷慨賦同仇。
"Như hà toàn thịnh kim âu nhật,",如何全盛金甌日，
Khước lại kim tăng tuế tệ mưu.,卻賴金繒歲幣謀。
